Hour,Light intensity,Vc,Vo,VPGA,VT3P,Vstarch
5,107.7,5.4391,2.71955,0.004856,1.29757,0.028673
6,463.5,18.66053,9.330266,0.009425,2.399446,1.128117
7,851.1,19.83498,9.917491,0.002763,1.280597,1.837692
8,1225.5,19.95132,9.975659,0.002797,1.290114,1.847461
9,1543.9,20.02752,10.01376,0.002822,1.296878,1.853591
10,1792.5,20.07901,10.0395,0.002838,1.301435,1.857738
11,1946,20.10824,10.05412,0.002848,1.304035,1.860089
12,1998.3,20.11786,10.05893,0.002851,1.304879,1.860869
13,1944.3,20.10796,10.05398,0.002847,1.304003,1.860069
14,1786,20.07772,10.03886,0.002838,1.30132,1.857636
15,1539.3,20.02651,10.01326,0.002821,1.296772,1.853518
16,1214.3,19.94834,9.97417,0.002796,1.289889,1.847199
17,844.9,19.83265,9.916325,0.002763,1.280479,1.83746
18,451.1,18.45905,9.229523,0.010573,2.544156,1.030026
19,103.2,5.222379,2.61119,0.004582,1.247729,0.026644
