Hour,Light intensity,Vc,Vo,VPGA,VT3P,Vstarch,Vt_glycerate,Vt_glycolate
5,107.7,5.515704,1.86155,0.001732,1.475786,0.025397,0.9307751149,1.861550214
6,463.5,20.26609,6.839807,0.01141,4.554486,0.524754,3.419903827,6.83980707
7,851.1,22.8444,7.709984,0.009772,4.343701,0.988165,3.854991818,7.70998375
8,1225.5,22.90874,7.7317,0.009822,4.35611,0.990849,3.865849753,7.731699596
9,1543.9,22.94965,7.745507,0.009856,4.364373,0.992368,3.872753488,7.745507095
10,1792.5,22.97691,7.754707,0.009878,4.369881,0.99338,3.87735362,7.75470735
11,1946,22.9923,7.759901,0.009891,4.372991,0.993951,3.879950645,7.759901439
12,1998.3,22.99727,7.761578,0.009895,4.373995,0.994135,3.880788928,7.761577996
13,1944.3,22.99222,7.759876,0.009891,4.372976,0.993948,3.879937855,7.759875816
14,1786,22.97624,7.754481,0.009878,4.369745,0.993355,3.877240279,7.754480685
15,1539.3,22.94913,7.745331,0.009855,4.364268,0.992349,3.872665642,7.745331419
16,1214.3,22.90723,7.731191,0.009821,4.355806,0.990793,3.865595405,7.731190908
17,844.9,22.84304,7.709525,0.009771,4.343505,0.988074,3.854762354,7.709524834
18,451.1,19.91759,6.722188,0.011373,4.53275,0.48735,3.361093235,6.7221878
19,103.2,5.294123,1.786767,0.00162,1.418806,0.023244,0.8933833124,1.78676663
