Hour,Light intensity,Vc,Vo,VPGA,VT3P,Vstarch
5,107.7,6.24469,2.107583,0.007732,1.667984,0.027292
6,463.5,22.13982,7.472188,0.022854,3.927818,1.091969
7,851.1,24.158,8.153324,0.003746,1.534188,2.577923
8,1225.5,24.22263,8.175137,0.003742,1.53416,2.586893
9,1543.9,24.26255,8.188612,0.003757,1.537922,2.590535
10,1792.5,24.28904,8.19755,0.003767,1.540432,2.592944
11,1946,24.30394,8.202579,0.003773,1.541846,2.594298
12,1998.3,24.30879,8.204217,0.003775,1.542219,2.594787
13,1944.3,24.30375,8.202515,0.003773,1.541837,2.594276
14,1786,24.28838,8.197329,0.003767,1.540366,2.592887
15,1539.3,24.26209,8.188456,0.003757,1.537879,2.590493
16,1214.3,24.22105,8.174605,0.003741,1.534036,2.586735
17,844.9,24.15647,8.152808,0.003749,1.534846,2.57738
18,451.1,21.82235,7.365043,0.024678,4.082695,0.969618
19,103.2,5.995913,2.023621,0.007294,1.603283,0.025393
