,type,leaf,stem,root,seed
sSUCROSE_b,,6.6608923352060195e-06,7.069894496139722e-06,6.222675734205622e-06,0.2532891953782288
GLC_c,,3.4636671309312804e-05,0.00010707394063407757,5.117790215895257e-05,0.14598468837098183
FRU_c,,0.0006015901340550196,0.0008781839371548684,0.0009546732529629342,0.0
Starch_b,,3.582082710816877,2.7407527792043203,1.827811330942959,0.2553344359340367
Cellulose_b,,0.5047557720569543,0.6624127272448725,0.6480437957395563,0.0
Xylan_b,,3.3572798301959312,12.522273984514358,13.015276386519526,0.0
L_PHOSPHATIDATE_p,,1.3124363568611965e-05,5.675545815562533e-06,3.5567809884531068e-06,20.2578950603197
PHOSPHATIDYL_CHOLINE_r,,0.0,0.0,0.0,0.0
L_1_PHOSPHATIDYL_ETHANOLAMINE_r,,0.0,0.0,0.0,0.0
DIACYLGLYCEROL_p,,0.0,0.0,0.0,0.0
Galactosyl_galactosyl_diacyl_glycerols_p,,0.0,0.0,0.0,0.0
D_Galactosyl_12_diacyl_glycerols_p,,0.0,0.0,0.0,0.0
2_Lysophosphatidylcholines_r,,0.0,0.0,0.0,0.0
Lysophosphatidylglycerols_r,,0.0,0.0,0.0,0.0
Triacylglycerols_p,,0.0,0.0,0.0,0.0
L_1_PHOSPHATIDYL_GLYCEROL_p,,0.0,0.0,0.0,0.0
L_1_phosphatidyl_inositols_r,,0.0,0.0,0.0,0.0
SULFOQUINOVOSYLDIACYLGLYCEROL_p,,0.0,0.0,0.0,0.0
Protein_b,,0.0,0.0,0.0,0.0
sMAL_b,,0.00016332055137381586,8.154670089457565e-05,0.00016809069265177152,0.0
sCIT_b,,8.767861609510752e-05,1.8191461964244262e-05,3.60656309872517e-05,0.0
sFUM_b,,0.00026276501390366233,0.0002316400289400987,0.00010617565293204374,0.0
ARG_c,,0.0,0.0,0.0,0.0
HIS_c,,0.0,0.0,0.0,0.0
LYS_c,,2.2419163629322906e-06,9.782907765522723e-06,9.375286608625944e-06,0.0
sASP_b,,0.00016117220110354133,5.874571538579054e-05,6.389353580619487e-05,0.0
sGLU_b,,0.00022022795852104265,8.390288289210637e-05,0.00011579419074506034,0.0
