,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,PRO_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ca_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H2O_xc,4.249290708019576,7.21278096143314,8.097451922387425,8.138959593537585,8.156522624276661,8.163252698663715,8.167876787724769,8.169174700566776,8.167773148539707,8.165060500734759,8.162347829573433,8.150799545647121,8.134742391005066,7.993569110948348,4.873196394991059
3,sCIT_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ACETYLGLUTKIN_RXN_p,0.0005273229952718228,0.0007797596417994053,0.0006370194030452906,0.0006101016156014758,0.0005943439308332113,0.0005868253344800682,0.0005808030687608301,0.000581324858331753,0.0005817128649381223,0.000584874816441736,0.0005880426068252822,0.0006001135880443161,0.0006144022486544666,0.0006827222629922173,0.0006009012523135969
5,2KG_OAA_mc,0.04091821733114193,0.02681332257240795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04458718825084184
6,LEUCINE_TRNA_LIGASE_RXN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DIAMINOPIMDECARB_RXN_p,0.002793386956572009,0.004130619055697457,0.0033744814994128274,0.0032318899623614192,0.0031484168130815737,0.0031085885684053976,0.003076686833919652,0.00307945090858062,0.0030815062953539127,0.0030982560938219,0.0031150368228658964,0.003178980405920616,0.003254671696589061,0.0036165831598463415,0.003183152897806317
8,ASPARTATE_TRNA_LIGASE_RXN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F16ALDOLASE_RXN_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.593859885250202e-15,0.0,0.0
10,RXN_7978_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Photon_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2_METHYL_ACETO_ACETYL_COA_xc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,F16ALDOLASE_RXN_c,-2.1191500794620297,-3.1133705085594787,-2.5974544956666685,-2.531489541648789,-2.501715520946386,-2.487315953175882,-2.4756351389859828,-2.476894875594106,-2.4774769071967,-2.483543408101008,-2.4896426316493327,-2.5126756152880727,-2.5398242765116525,-2.7640763573991745,-2.4049499020508325
14,RXN_9532_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,RXN_5642_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
