,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,PRO_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ca_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H2O_xc,2.2006406093912085,4.340647897329943,7.676295337487457,8.122407769815519,8.144777044832887,8.161233730560651,8.166366375971661,8.170485930139588,8.167270125506345,8.160440051701547,8.13805305804314,8.058880702575504,6.40159908764516,2.7096734408579906
3,sCIT_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ACETYLGLUTKIN_RXN_p,0.0002648476525547672,0.0005380256675999501,0.0007511656205052186,0.0006230575460751343,0.0006057387917514253,0.0005415673599861083,0.0005834060070686942,0.0005785174651077483,0.0005824686234499984,0.0005899870747935268,0.0006117354892148772,0.0006548243562716263,0.0007502280884876823,0.00033163978707060867
5,2KG_OAA_mc,0.02247324379834436,0.04150391444689355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043395982323775326,0.02760453565718811
6,LEUCINE_TRNA_LIGASE_RXN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DIAMINOPIMDECARB_RXN_p,0.00140297689379477,0.0028500821995425763,0.003979148019126145,0.0033005213847582746,0.0032087787850937784,0.0028688435988329557,0.003090475373320376,0.0030645793105879607,0.003085509773042241,0.0031253372488076235,0.0032405450774990823,0.0034687996391169072,0.003974181622929933,0.0017567947211868575
8,ASPARTATE_TRNA_LIGASE_RXN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F16ALDOLASE_RXN_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.057219571089521e-16
10,RXN_7978_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Photon_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2_METHYL_ACETO_ACETYL_COA_xc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,F16ALDOLASE_RXN_c,-1.0956829743669534,-2.159542970258568,-3.0118509012853174,-2.557899609404937,-2.5233233864489293,-2.232467896179503,-2.4806924653556703,-2.471227102532276,-2.4789832029269387,-2.493392179818936,-2.534696573055424,-2.658305565884227,-2.9915993930381153,-1.35520302747342
14,RXN_9532_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,RXN_5642_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,L_ASCORBATE_PEROXIDASE_RXN_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,L_ASCORBATE_PEROXIDASE_RXN_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,SER_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,PYRUVATE_PROTON_mc,-0.3502954831095157,-0.475847615434004,-0.6453964353954823,-0.747835653622802,-0.8578600062190124,-1.4203607708518255,-1.007029583307007,-1.039392975502502,-1.0133336704351763,-0.9633909048996112,-0.8175473944033976,-0.6792280185207257,-0.5881975144408034,-0.381618324170064
20,NADH_DEHYDROG_A_RXN_mi,1.014511761215841,1.3339350725184012,1.8545873880276469,2.2239146546642714,2.5632591754411336,2.203944536621077,3.0223644160058636,3.1215443136444114,3.041394073961217,2.8882609408338933,2.4392436919931013,2.0025036564343917,1.6494554695979518,1.0875775070780442
