,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
0,PRO_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ca_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H2O_xc,2.209137128023562,3.6975661774427415,4.519659651340193,5.329219256488255,7.975956676424397,8.131613756890768,8.132535520481529,8.133137044558076,8.126317528588404,8.003393853495957,6.646038059350227,4.271081234548477,2.8486013898320945
3,sCIT_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ACETYLGLUTKIN_RXN_p,0.00026571799451752937,0.00045845563930365117,0.0005600871650354788,0.0006451858779249879,0.0006858308940327498,0.0005715607773220707,0.0006161198795746299,0.0006157388604011799,0.0006206178532337532,0.0006765366261235282,0.00076548516247292,0.0005296913628235514,0.00034965250787179144
5,2KG_OAA_mc,0.02253708346701677,0.03662782411789438,0.04271250636142242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462673351781023,0.04103907180370227,0.02895029219942964
6,LEUCINE_TRNA_LIGASE_RXN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DIAMINOPIMDECARB_RXN_p,0.0014075873543144429,0.002428576061709916,0.002966948521961321,0.0034177417489299976,0.0036330505042295046,0.0030277276634850577,0.0032637704990798808,0.003261752127089989,0.0032875976046643426,0.0035838159990617133,0.004055002887448827,0.00280593290515348,0.001852213515503032
8,ASPARTATE_TRNA_LIGASE_RXN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F16ALDOLASE_RXN_p,0.0,0.0,0.0,0.0,0.0,0.0,-1.3400108992552154e-15,-2.571860148790819e-16,-3.2542177274036697e-18,0.0,0.0,0.0,2.055386191869554e-16
10,RXN_7978_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Photon_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2_METHYL_ACETO_ACETYL_COA_xc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,F16ALDOLASE_RXN_c,-1.09897625717,-1.8491458129282676,-2.2463679742288583,-2.567948787037111,-2.770939382748302,-2.2999490002841654,-2.5431577836304142,-2.542351094401809,-2.5522450372226024,-2.7366606261286472,-3.0524854518454374,-2.1267028752953365,-1.4254768952712429
14,RXN_9532_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,RXN_5642_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,L_ASCORBATE_PEROXIDASE_RXN_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,L_ASCORBATE_PEROXIDASE_RXN_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,SER_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,PYRUVATE_PROTON_mc,-0.35290317956462225,-0.43966371146532596,-0.4806849273845456,-0.5931252493562919,-0.6642899352276013,-1.2108411099295988,-0.7884685016606431,-0.7911362369762459,-0.7605838450054758,-0.6672929138890649,-0.6008349813232651,-0.4712376976719687,-0.3902602920251268
20,NADH_DEHYDROG_A_RXN_mi,1.015417550947747,1.2381294847145816,1.3630144856519606,1.5061884426463517,1.9433750548352933,1.7079904835116866,2.3499472230721987,2.357480461558116,2.2634612281263653,1.9560687913191293,1.6855934522052043,1.3203283741897949,1.1099398027603375
21,L_ALPHA_ALANINE_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NADH_DEHYDROG_A_RXN_mc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ACETYL_COA_ACETYLTRANSFER_RXN_x,-5.433573338137346e-13,1.4190811270261102e-14,-1.1208660096950512e-13,1.682838149557313e-14,-1.7520564962165542e-13,-1.7862680661421056e-14,5.728855540444514e-14,1.0682333316157383e-13,-4.470232603245747e-13,-1.4723435648285653e-13,-4.68825422379672e-14,7.640372194565341e-14,4.5473313623557366e-11
24,pTHR_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Starch_biomass,0.0,0.0,0.0,0.0,-1.455262310820592e-15,0.0,0.0,0.0,0.0,-1.4655002016606605e-15,0.0,0.0,0.0
26,MAL_Pi_mc,0.0,0.0,-1.3431868760653988e-16,0.0,0.0,-1.3431868760653989e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,ALANINE_GLYOXYLATE_AMINOTRANSFERASE_RXN_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,RXN_9663_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,H_pc,0.2513001539752945,0.2668697257064973,0.2503725593900433,0.5142830832086468,0.4139789967191432,1.4573704305755222,0.5613568904532681,0.5645581529836384,0.5337017305888407,0.4217227000142352,0.3099539564833252,0.26988570501223946,0.2579575580318708
30,H_mc,1.1048737806014206,1.8493096931290307,2.260473168982746,2.6653507200705646,3.9887661168773763,4.066463400906343,4.066975465450248,4.0672757898314735,4.063871636093887,4.00247402956579,3.3238983031008327,2.136149046492879,1.4247023228321911
31,2_METHYL_3_HYDROXY_BUTYRYL_COA_mc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,IGPSYN_RXN_p,0.00026571799451752937,0.00045845563930365095,0.0005600871650354787,0.0006451858779249878,0.0006858308940327496,0.0005715607773220705,0.0006161198795746298,0.0006157388604011798,0.000620617853233753,0.0006765366261235282,0.0007654851624729198,0.0005296913628235513,0.0003496525078717913
34,5_METHYL_THF_pc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ASN_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,WATER_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,RXN_9652_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
