,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
0,PRO_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Ca_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H2O_xc,4.117270082199198,7.428634183116204,8.970191150479657,9.383261770089645,9.466031278417953,9.312211834877932,8.810871481338744,9.331323409422437,9.436202185146003,8.066513790225487,5.078771522566922,2.435612834675515
3,sCIT_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ACETYLGLUTKIN_RXN_p,0.0003074794501591936,0.000541454237181842,0.0005772123978848244,0.0005345574779814313,0.0005171803954160766,0.000547041280543865,0.0005821296826842879,0.0005441476443617931,0.0005244537138598131,0.0005715524611305383,0.0003821193584002515,0.0001717913283079468
5,2KG_OAA_mc,0.0,0.03329541697154767,0.01399003270807123,0.0,0.0,0.051806292433016425,0.01872183010290041,0.05153225724120397,0.0,0.03006539141103568,0.029122002473945793,0.014549380478763484
6,LEUCINE_TRNA_LIGASE_RXN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,DIAMINOPIMDECARB_RXN_p,0.0016288102231208725,0.0028682443322067906,0.003057665957094309,0.0028317101658043658,0.002739658584749721,0.002897840586472704,0.0030837142797473143,0.002882512133887492,0.00277818751812518,0.0030276835868231107,0.0020242000465989503,0.0009100298338325018
8,ASPARTATE_TRNA_LIGASE_RXN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,F16ALDOLASE_RXN_p,3.5239205702932424e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,RXN_7978_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Photon_tx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2_METHYL_ACETO_ACETYL_COA_xc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,F16ALDOLASE_RXN_c,-1.2666851961142622,-2.1857736402211767,-2.3372587866223022,-2.1829442424641106,-2.12392716639628,-2.2287021577131063,-2.3542900525045463,-2.2182515837513894,-2.1481297622859388,-2.3084568397085152,-1.5589251934506414,-0.7365017247746796
14,RXN_9532_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,RXN_5642_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,L_ASCORBATE_PEROXIDASE_RXN_p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,L_ASCORBATE_PEROXIDASE_RXN_m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,SER_PROTON_vc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
