,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,vc,7.936287,15.82717,26.08304,26.36893,26.41492,26.45585,26.52236,26.57327,26.54106,26.49767,24.38071,26.29189,22.91384,7.936287
1,vo,2.880104,5.743732,9.465619,9.569369,9.586059,9.600913,9.625052,9.643525,9.631838,9.616091,8.84784,9.54141,8.315508,2.880104
2,v2,20.19016,40.26206,66.35449,67.08223,67.19921,67.30332,67.47252,67.602,67.52008,67.40971,62.01562,66.88624,58.28839,20.19016
3,v3,20.19016,40.26206,66.35449,67.08223,67.19921,67.30332,67.47252,67.602,67.52008,67.40971,62.01628,66.88624,58.28839,20.19016
4,v5,3.651148,7.359277,12.96545,13.16588,13.18864,13.20882,13.24159,13.26666,13.2508,13.22943,11.75225,13.12584,10.89792,3.651148
5,v6,3.651148,7.359277,12.96545,13.16588,13.18864,13.20882,13.24159,13.26666,13.2508,13.22943,11.75205,13.12584,10.89792,3.651148
6,v7,3.605462,7.190303,11.84955,11.97943,12.00033,12.01892,12.04914,12.07226,12.05763,12.03792,11.08141,11.94443,10.40978,3.605462
7,v8,3.605464,7.190303,11.84955,11.97943,12.00033,12.01892,12.04914,12.07226,12.05763,12.03792,11.08568,11.94443,10.40978,3.605464
8,v9,3.605464,7.190303,11.84955,11.97943,12.00033,12.01892,12.04914,12.07226,12.05763,12.03792,11.08538,11.94443,10.40978,3.605464
9,v10,3.605464,7.190303,11.84955,11.97943,12.00033,12.01892,12.04914,12.07226,12.05763,12.03792,11.08538,11.94443,10.40978,3.605464
10,v13,10.81639,21.57091,35.54866,35.9383,36.00098,36.05676,36.14742,36.21679,36.1729,36.11376,33.25029,35.8333,31.22935,10.81639
11,v23,0.0608713,0.1840315,1.127905,1.198437,1.20034,1.201957,1.204563,1.206551,1.205294,1.203597,0.6746058,1.193335,0.5021195,0.0608713
12,v24,0.0608713,0.1840316,1.127905,1.198437,1.20034,1.201957,1.204563,1.206551,1.205294,1.203597,0.6746311,1.193335,0.5021195,0.0608713
13,v25,0.01518346,0.0150612,0.01201064,0.01198507,0.01202276,0.01205682,0.01211209,0.01215496,0.01212774,0.01209175,0.01341011,0.01193034,0.01397871,0.01518346
14,v112,2.880104,5.743732,9.465619,9.569369,9.586059,9.600913,9.625052,9.643525,9.631838,9.616091,8.847179,9.54141,8.315508,2.880104
15,v113,1.440053,2.871865,4.732809,4.784685,4.79303,4.800456,4.812526,4.821762,4.815919,4.808046,4.418194,4.770705,4.157754,1.440053
16,v121,2.880104,5.743732,9.465619,9.569369,9.586059,9.600913,9.625052,9.643525,9.631838,9.616091,8.847641,9.54141,8.315508,2.880104
17,v122,1.440053,2.871865,4.732809,4.784685,4.79303,4.800456,4.812526,4.821762,4.815919,4.808046,4.418451,4.770705,4.157754,1.440053
18,v123,1.440053,2.871865,4.732809,4.784685,4.79303,4.800456,4.812526,4.821762,4.815919,4.808046,4.418416,4.770705,4.157754,1.440053
19,v124,1.440051,2.871867,4.73281,4.784685,4.79303,4.800456,4.812526,4.821762,4.815919,4.808046,4.429142,4.770705,4.157754,1.440051
20,v131,1.440053,2.871865,4.732809,4.784685,4.79303,4.800456,4.812526,4.821762,4.815919,4.808046,4.422636,4.770705,4.157754,1.440053
21,vlin,1.440053,2.871865,4.732809,4.784685,4.79303,4.800456,4.812526,4.821762,4.815919,4.808046,4.418289,4.770705,4.157754,1.440053
22,v2out,2.880104,5.743732,9.465619,9.569369,9.586059,9.600913,9.625052,9.643525,9.631838,9.616091,8.847753,9.54141,8.315508,2.880104
23,v51,1.035742,1.986296,2.437469,2.406082,2.410475,2.41446,2.42096,2.425941,2.422789,2.418546,2.620571,2.400637,2.631592,1.035742
24,v52,1.035743,1.986295,2.437469,2.406082,2.410475,2.41446,2.42096,2.425941,2.422789,2.418546,2.620391,2.400637,2.631592,1.035743
