,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,vc,8.973254,17.90133,31.61914,33.26067,33.34736,33.4111,33.43066,33.44712,33.43434,33.40877,33.3211,33.02833,26.73949,11.09082
1,vo,2.194546,4.378043,7.732941,8.134402,8.155605,8.171192,8.175977,8.180002,8.176877,8.170623,8.149182,8.077582,6.53955,2.712428
2,v2,21.23446,42.35763,74.81831,78.70901,78.91418,79.06496,79.11125,79.15019,79.11996,79.05946,78.85204,78.15828,63.26717,26.24478
3,v3,21.23446,42.35763,74.81831,78.70902,78.91418,79.06496,79.11125,79.15019,79.11996,79.05946,78.85204,78.15828,63.26717,26.24478
4,v5,3.77281,7.605009,14.39486,15.73895,15.78315,15.81209,15.82095,15.82839,15.82261,15.81103,15.77099,15.53674,11.63313,4.673799
5,v6,3.77281,7.605009,14.39486,15.73895,15.78315,15.81209,15.82095,15.82839,15.82261,15.81103,15.77099,15.53673,11.63313,4.673799
6,v7,3.7226,7.426458,13.11736,13.79836,13.83432,13.86076,13.86888,13.87571,13.87041,13.8598,13.82343,13.70197,11.09301,4.601082
7,v8,3.7226,7.426458,13.11736,13.79836,13.83432,13.86076,13.86888,13.87571,13.87041,13.8598,13.82343,13.70197,11.09301,4.601082
8,v9,3.7226,7.426458,13.11736,13.79836,13.83432,13.86076,13.86888,13.87571,13.87041,13.8598,13.82343,13.70169,11.09301,4.601082
9,v10,3.7226,7.426458,13.11736,13.79836,13.83432,13.86076,13.86888,13.87571,13.87041,13.8598,13.82343,13.70197,11.09301,4.601082
10,v13,11.1678,22.27937,39.35208,41.39507,41.50297,41.58229,41.60664,41.62712,41.61122,41.57939,41.47028,41.10591,33.27904,13.80325
11,v23,0.06451478,0.1929152,1.291405,1.95475,1.963064,1.965633,1.966394,1.96703,1.966536,1.965542,1.961778,1.848818,0.554178,0.087078
12,v24,0.06451478,0.1929152,1.291405,1.95475,1.963064,1.965633,1.966394,1.96703,1.966536,1.965542,1.961778,1.848818,0.554178,0.087078
13,v25,0.01430499,0.01436369,0.01390566,0.01415861,0.01424171,0.01430741,0.01432766,0.01434492,0.01433158,0.01430505,0.01421457,0.01405224,0.01406465,0.01436026
14,v112,2.194546,4.378043,7.732941,8.134402,8.155605,8.171192,8.175977,8.180002,8.176877,8.170623,8.149182,8.077581,6.53955,2.712428
15,v113,1.097273,2.189021,3.86647,4.067201,4.077803,4.085596,4.087989,4.090001,4.088439,4.085312,4.074591,4.038791,3.269775,1.356214
16,v121,2.194546,4.378043,7.732941,8.134402,8.155605,8.171192,8.175977,8.180002,8.176877,8.170623,8.149182,8.077582,6.53955,2.712428
17,v122,1.097273,2.189021,3.86647,4.067201,4.077803,4.085596,4.087989,4.090001,4.088439,4.085312,4.074591,4.038791,3.269775,1.356214
18,v123,1.097273,2.189021,3.86647,4.067201,4.077803,4.085596,4.087989,4.090001,4.088439,4.085312,4.074591,4.038791,3.269775,1.356214
19,v124,1.097273,2.189021,3.86647,4.067201,4.077803,4.085596,4.087989,4.090001,4.088439,4.085312,4.074591,4.038791,3.269775,1.356214
20,v131,1.097273,2.189021,3.86647,4.067201,4.077803,4.085596,4.087989,4.090001,4.088439,4.085312,4.074591,4.038791,3.269775,1.356214
21,vlin,1.097273,2.189021,3.86647,4.067201,4.077803,4.085596,4.087989,4.090001,4.088439,4.085312,4.074591,4.038791,3.269775,1.356214
22,v2out,2.194546,4.378043,7.732941,8.134402,8.155605,8.171192,8.175977,8.180002,8.176877,8.170623,8.149182,8.077582,6.53955,2.712428
23,v51,1.260521,2.434119,3.338259,2.918026,2.922461,2.929249,2.931361,2.933141,2.931759,2.928999,2.91989,2.989449,3.360935,1.546967
24,v52,1.260521,2.434119,3.338259,2.918026,2.922461,2.929249,2.931361,2.933141,2.931759,2.928999,2.91989,2.989449,3.360935,1.546967
