,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,14.2818,24.58563,26.30606,26.44685,29.53873,26.5459,26.54627,29.53567,26.5199,26.51812,26.51198,29.50567,26.41842,26.25442,16.49187
1,vo,5.18291,8.922205,9.546555,9.597646,10.7197,9.633594,9.633728,10.71859,9.624156,9.623511,9.621283,10.7077,9.587329,9.527815,5.984955
2,v2,36.33125,62.54221,66.92231,67.28043,75.14556,67.53239,67.53333,75.13777,67.46624,67.46171,67.4461,75.06145,67.20811,66.79091,41.95279
3,v3,36.33125,62.54221,66.92231,67.28043,84.03661,67.53239,67.53333,83.35776,67.46624,67.46171,67.4461,83.88769,67.20811,66.79091,41.95279
4,v5,6.624515,11.8693,13.13369,13.20439,18.92675,13.25318,13.25337,18.59116,13.24037,13.2395,13.23647,18.87823,13.19037,13.10284,7.677425
5,v6,6.624515,11.8693,13.13369,13.20439,18.92306,13.25318,13.25337,18.58778,13.24037,13.2395,13.23647,18.87457,13.19037,13.10284,7.677424
6,v7,6.488236,11.16928,11.95087,12.01483,13.423,12.05983,12.06,13.42188,12.04802,12.04721,12.04442,13.40789,12.00192,11.92741,7.492246
7,v8,6.488236,11.16928,11.95087,12.01483,13.42264,12.05983,12.06,13.4215,12.04802,12.04721,12.04442,13.40755,12.00192,11.92741,7.492245
8,v9,6.488236,11.16928,11.95087,12.01483,13.42173,12.05983,12.06,13.42064,12.04802,12.04721,12.04442,13.40658,12.00192,11.92741,7.493088
9,v10,6.488236,11.16928,11.95087,12.01483,13.41973,12.05983,12.06,13.41866,12.04802,12.04721,12.04442,13.40461,12.00192,11.92741,7.492262
10,v13,19.46471,33.50784,35.85262,36.04449,40.25962,36.1795,36.18,40.25645,36.14405,36.14163,36.13326,40.21427,36.00575,35.78224,22.47684
11,v23,0.1514166,0.7132346,1.194757,1.201605,0.0006793031,1.205483,1.205497,0.0007185435,1.204466,1.204397,1.204157,0.0006908007,1.200479,1.187346,0.2001456
12,v24,0.1514166,0.7132346,1.194757,1.201605,0.0006793439,1.205483,1.205497,0.0007185526,1.204466,1.204397,1.204157,0.0006908009,1.200479,1.187346,0.200147
13,v25,0.01513958,0.0132176,0.01193813,0.0120494,-5.453668,0.01213115,0.01213213,-5.120005,0.01211019,0.012109,0.01210361,-5.420133,0.01202567,0.01191827,0.01501779
14,v112,5.18291,8.922205,9.546555,9.597646,10.7197,9.633594,9.633728,10.7186,9.624156,9.623511,9.621283,10.70768,9.587329,9.527815,5.984956
15,v113,2.591455,4.461102,4.773278,4.798823,5.359835,4.816797,4.816864,5.359281,4.812078,4.811755,4.810641,5.353836,4.793665,4.763907,2.992478
16,v121,5.18291,8.922205,9.546555,9.597646,10.71967,9.633594,9.633728,10.71856,9.624156,9.623511,9.621283,10.70767,9.587329,9.527815,5.984955
17,v122,2.591455,4.461102,4.773278,4.798823,5.359835,4.816797,4.816864,5.359281,4.812078,4.811755,4.810641,5.353836,4.793665,4.763907,2.992478
18,v123,2.591455,4.461102,4.773278,4.798823,5.359835,4.816797,4.816864,5.359281,4.812078,4.811755,4.810641,5.353836,4.793665,4.763907,2.992478
19,v124,2.591456,4.461103,4.773278,4.798823,5.359837,4.816797,4.816864,5.359282,4.812078,4.811755,4.810641,5.353836,4.793664,4.763907,2.992477
20,v131,2.591455,4.461102,4.773278,4.798823,5.359836,4.816797,4.816864,5.359281,4.812078,4.811755,4.810641,5.353836,4.793665,4.763907,2.992478
21,vlin,2.591455,4.461102,4.773278,4.798823,5.359835,4.816797,4.816864,5.359281,4.812078,4.811755,4.810641,5.353836,4.793665,4.763907,2.992478
22,v2out,5.18291,8.922205,9.546555,9.597646,10.71967,9.633594,9.633728,10.71856,9.624156,9.623511,9.621283,10.70767,9.587329,9.527815,5.984955
23,v51,1.808756,2.647887,2.401155,2.413581,2.957446,2.423262,2.423299,2.955346,2.420719,2.420546,2.419945,2.954216,2.410814,2.401497,2.06056
24,v52,1.808756,2.647887,2.401155,2.413581,2.957447,2.423262,2.423299,2.955346,2.420719,2.420546,2.419945,2.954216,2.410814,2.401497,2.06056
25,v55,0.9043783,1.323943,1.200578,1.206784,1.478723,1.211631,1.211649,1.477673,1.21036,1.210273,1.209972,1.477108,1.205407,1.200753,1.030276
26,v56,0.904378,1.323943,1.200578,1.20679,1.478723,1.211631,1.211649,1.477673,1.21036,1.210273,1.209972,1.477108,1.205407,1.200748,1.030279
27,v57,0.904378,1.323943,1.200578,1.20679,1.478723,1.211631,1.211649,1.477673,1.21036,1.210273,1.209972,1.477108,1.205407,1.200748,1.030279
28,v58,0.06854185,0.0641167,0.06528192,0.06522073,0.06279233,0.0651733,0.06517312,0.06280082,0.06518575,0.0651866,0.06518954,0.06280534,0.06523435,0.06528026,0.06706857
29,v59,0.0685417,0.06411672,0.06528192,0.06522076,0.06279211,0.0651733,0.06517312,0.06280062,0.06518575,0.0651866,0.06518954,0.06280521,0.06523436,0.06528024,0.06706945
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.904378,1.323943,1.200578,1.20679,1.478723,1.211631,1.211649,1.477673,1.21036,1.210273,1.209972,1.477108,1.205407,1.200748,1.03028
