,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,14.27696,24.56126,26.30726,26.45901,26.54237,26.54605,26.54745,26.53347,26.51975,26.5158,26.50705,26.47132,26.41851,26.25526,16.49505
1,vo,5.181155,8.91336,9.546988,9.60206,9.632312,9.633649,9.634154,9.629082,9.624103,9.62267,9.619493,9.606528,9.587363,9.528118,5.986106
2,v2,36.31894,62.48018,66.92535,67.31136,67.5234,67.53277,67.53631,67.50077,67.46587,67.45582,67.43355,67.34268,67.20835,66.79304,41.96086
3,v3,36.31895,62.48018,66.92535,67.31136,67.5234,67.53277,67.53631,67.50077,67.46587,67.45582,67.43355,67.34268,67.20835,66.79304,41.96086
4,v5,6.622247,11.85408,13.13432,13.21038,13.25144,13.25326,13.25394,13.24706,13.2403,13.23836,13.23405,13.21645,13.19042,13.10334,7.678942
5,v6,6.622247,11.85408,13.13432,13.21038,13.25144,13.25326,13.25394,13.24706,13.2403,13.23836,13.23405,13.21645,13.19042,13.10334,7.678942
6,v7,6.485996,11.15821,11.95142,12.02036,12.05823,12.0599,12.06053,12.05418,12.04795,12.04616,12.04218,12.02595,12.00196,11.92779,7.493723
7,v8,6.48601,11.15821,11.95141,12.02036,12.05823,12.0599,12.06053,12.05418,12.04795,12.04616,12.04218,12.02595,12.00196,11.92779,7.493698
8,v9,6.486801,11.15821,11.95141,12.02036,12.05823,12.0599,12.06054,12.05418,12.04795,12.04616,12.04218,12.02595,12.00196,11.92779,7.493911
9,v10,6.486023,11.15821,11.95141,12.02036,12.05823,12.0599,12.06053,12.05418,12.04795,12.04616,12.04218,12.02595,12.00196,11.92779,7.493703
10,v13,19.45812,33.47462,35.85425,36.06107,36.17468,36.1797,36.1816,36.16255,36.14385,36.13847,36.12654,36.07785,36.00587,35.78338,22.48116
11,v23,0.1513293,0.7091089,1.194845,1.202081,1.205345,1.205488,1.205543,1.204997,1.204461,1.204306,1.203965,1.202565,1.200483,1.187462,0.2002215
12,v24,0.1513305,0.7091089,1.194845,1.202081,1.205345,1.205488,1.205543,1.204997,1.204461,1.204306,1.203965,1.202565,1.200483,1.187462,0.2002214
13,v25,0.01513983,0.0132316,0.01193897,0.01205956,0.01212888,0.01213218,0.0121331,0.01212131,0.01210995,0.01210673,0.01209837,0.01206957,0.01202574,0.01191836,0.01501755
14,v112,5.181156,8.91336,9.546988,9.60206,9.632312,9.633649,9.634154,9.629082,9.624103,9.62267,9.619493,9.606528,9.587363,9.528118,5.986106
15,v113,2.590578,4.45668,4.773494,4.80103,4.816156,4.816824,4.817077,4.814541,4.812052,4.811335,4.809746,4.803264,4.793682,4.764059,2.993054
