,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
0,vc,7.973672,13.62622,17.13841,20.36759,26.15154,26.36006,26.37225,26.38662,26.3656,26.20584,22.59471,14.59984,9.740992
1,vo,2.893671,4.944999,6.219584,7.391464,9.490479,9.566153,9.570575,9.575791,9.568162,9.510182,8.199692,5.298329,3.535037
2,v2,20.28526,34.66372,43.5973,51.81108,66.52897,67.05968,67.09068,67.12724,67.07377,66.66722,57.47648,37.14023,24.78094
3,v3,20.28526,34.66372,43.5973,51.81109,66.52897,67.05968,67.09068,67.12724,67.07377,66.66722,57.47648,37.14023,24.78094
4,v5,3.668531,6.314504,7.988292,9.573333,13.02365,13.16146,13.16754,13.17466,13.16423,13.06764,10.72499,6.775247,4.491742
5,v6,3.668531,6.314504,7.988292,9.573333,13.02365,13.16146,13.16754,13.17466,13.16423,13.06764,10.72499,6.775247,4.491742
6,v7,3.622448,6.190407,7.785998,9.253021,11.88067,11.97541,11.98094,11.98747,11.97792,11.90534,10.2648,6.632723,4.425343
7,v8,3.622448,6.190407,7.785998,9.253023,11.88067,11.97541,11.98094,11.98747,11.97792,11.90534,10.2648,6.632723,4.425343
8,v9,3.622448,6.190407,7.785998,9.252862,11.88067,11.97541,11.98094,11.98747,11.97792,11.90534,10.2648,6.632723,4.425343
9,v10,3.622448,6.190407,7.785998,9.25302,11.88067,11.97541,11.98094,11.98747,11.97792,11.90534,10.2648,6.632723,4.425343
10,v13,10.86734,18.57122,23.35799,27.75905,35.64202,35.92622,35.94282,35.96241,35.93376,35.71602,30.79439,19.89817,13.27603
11,v23,0.06126817,0.1392613,0.2172618,0.3348964,1.154934,1.198034,1.198582,1.199191,1.198287,1.174222,0.4742808,0.1576507,0.08161439
12,v24,0.06126817,0.1392613,0.2172619,0.3348961,1.154934,1.198034,1.198582,1.199191,1.198287,1.174222,0.4742809,0.1576507,0.08161439
13,v25,0.0151845,0.01516379,0.01496816,0.01457747,0.01195642,0.01197741,0.01198771,0.01199941,0.01198202,0.01192603,0.01408073,0.01512593,0.01521502
14,v112,2.893671,4.944999,6.219584,7.391463,9.490479,9.566153,9.570575,9.575791,9.568162,9.510182,8.199692,5.298329,3.535037
15,v113,1.446836,2.4725,3.109792,3.695732,4.74524,4.783076,4.785287,4.787895,4.784081,4.755091,4.099848,2.649164,1.767519
16,v121,2.893671,4.944999,6.219584,7.391464,9.490479,9.566153,9.570575,9.575791,9.568162,9.510182,8.199692,5.298329,3.535037
17,v122,1.446836,2.4725,3.109792,3.695732,4.74524,4.783076,4.785287,4.787895,4.784081,4.755091,4.099848,2.649164,1.767519
18,v123,1.446836,2.4725,3.109792,3.695732,4.74524,4.783076,4.785287,4.787895,4.784081,4.755091,4.099848,2.649164,1.767519
19,v124,1.446836,2.4725,3.109792,3.695732,4.74524,4.783076,4.785287,4.787895,4.784081,4.755091,4.099844,2.649164,1.767519
20,v131,1.446836,2.4725,3.109792,3.695732,4.74524,4.783076,4.785287,4.787895,4.784081,4.755091,4.099847,2.649164,1.767519
21,vlin,1.446836,2.4725,3.109792,3.695732,4.74524,4.783076,4.785287,4.787895,4.784081,4.755091,4.099848,2.649164,1.767519
22,v2out,2.893671,4.944999,6.219584,7.391464,9.490479,9.566153,9.570575,9.575791,9.568162,9.510182,8.199692,5.298329,3.535037
23,v51,1.040428,1.731745,2.13136,2.452684,2.41982,2.405272,2.406391,2.40775,2.405776,2.407967,2.616056,1.845782,1.260713
24,v52,1.040428,1.731745,2.13136,2.452685,2.41982,2.405272,2.406391,2.40775,2.405776,2.407967,2.616056,1.845782,1.260713
25,v55,0.5202138,0.8658726,1.065679,1.226343,1.20991,1.202636,1.203196,1.203875,1.202888,1.203983,1.30795,0.9228911,0.6303562
26,v56,0.520214,0.8658726,1.06568,1.226342,1.20991,1.202636,1.203196,1.203875,1.202888,1.203983,1.308028,0.9228911,0.6303563
27,v57,0.520214,0.8658726,1.06568,1.226342,1.20991,1.202636,1.203196,1.203875,1.202888,1.203983,1.308028,0.9228911,0.6303564
28,v58,0.07405208,0.06902066,0.06667929,0.06503015,0.06519012,0.06526163,0.06525612,0.06524943,0.06525915,0.06524836,0.0642611,0.06831641,0.07228895
29,v59,0.07405227,0.06902067,0.06667938,0.06503002,0.06519017,0.06526163,0.06525612,0.06524943,0.06525915,0.06524836,0.06426127,0.06831641,0.07228911
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.5202141,0.8658726,1.06568,1.226342,1.20991,1.202636,1.203196,1.203875,1.202888,1.203983,1.308028,0.9228911,0.6303564
32,vdhap_in,22.90019,20.94015,20.05404,19.40249,19.46751,19.49639,19.49416,19.49146,19.49539,19.49103,19.08319,20.6756,22.18762
33,vgap_in,22.90019,20.94015,20.05404,19.40249,19.46751,19.49639,19.49416,19.49146,19.49539,19.49103,19.08319,20.6756,22.18762
34,vpga_in,22.90019,20.94015,20.05404,19.40249,19.46751,19.49639,19.49416,19.49146,19.49539,19.49103,19.08319,20.6756,22.18762
35,vpga_use,0.002591007,0.006221561,0.008895582,0.01128349,0.009838212,0.009674233,0.009682449,0.00969249,0.009677928,0.009722252,0.01247167,0.006944488,0.003602562
36,Vbf1,55.81422,95.45909,120.1606,142.9787,185.2768,186.8335,186.9198,187.0216,186.8727,185.701,158.8524,102.2991,68.20028
37,Vbf2,55.81422,95.45909,120.1606,142.9787,185.2768,186.8335,186.9198,187.0216,186.8727,185.701,158.8524,102.2991,68.20028
38,Vbf3,55.81422,95.45909,120.1606,142.9787,185.2768,186.8335,186.9198,187.0216,186.8727,185.701,158.8524,102.2991,68.20028
39,Vbf4,55.81422,95.45909,120.1606,142.9787,185.2768,186.8335,186.9198,187.0216,186.8727,185.701,158.8524,102.2991,68.20028
40,Vbf5,20.28523,34.66372,43.59728,51.81109,66.52897,67.05969,67.09068,67.12724,67.07377,66.66722,57.47648,37.14023,24.78094
41,Vbf6,35.529,60.79537,76.56333,91.16761,118.7479,119.7738,119.8291,119.8943,119.7989,119.0338,101.3759,65.15889,43.41935
42,Vbf7,35.52905,60.79537,76.56332,91.16761,118.7479,119.7738,119.8291,119.8943,119.7989,119.0338,101.3759,65.15888,43.41935
43,Vbf8,55.81422,95.45909,120.1606,142.9787,185.2768,186.8335,186.9198,187.0216,186.8727,185.701,158.8524,102.2991,68.20028
44,Vbf9,55.81422,95.45909,120.1605,142.9782,185.2768,186.8335,186.9198,187.0216,186.8727,185.701,158.8524,102.2991,68.20028
45,Vbf10,55.81422,95.45909,120.1678,142.9789,185.2768,186.8334,186.9198,187.0216,186.8727,185.701,158.8523,102.2991,68.20028
46,Vbf11,32.66071,55.8467,70.28234,83.60072,108.0712,108.967,109.0174,109.0767,108.9899,108.3126,92.845,59.84521,39.9061
