,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
0,vc,9.008885,15.19903,18.64967,21.91827,32.75743,33.29757,33.29916,33.3008,33.2743,32.82585,27.43092,17.48735,11.65483
1,vo,2.20326,3.717154,4.561061,5.360445,8.011328,8.143428,8.143816,8.144217,8.137737,8.028062,6.70865,4.276798,2.850367
2,v2,21.31877,35.96452,44.12802,51.86065,77.51595,78.79637,78.80013,78.804,78.7413,77.67818,64.90329,41.37825,27.57924
3,v3,21.31877,35.96452,44.12802,51.86065,77.51595,78.79637,78.80013,78.804,78.74129,77.67818,64.90329,41.37825,27.57924
4,v5,3.787941,6.433961,7.932031,9.380643,15.2893,15.75959,15.76039,15.7612,15.74712,15.35055,11.9784,7.424699,4.914386
5,v6,3.787941,6.433961,7.932031,9.380643,15.2893,15.75959,15.76039,15.7612,15.74712,15.35055,11.9784,7.424699,4.914386
6,v7,3.737382,6.305395,7.736912,9.092904,13.58959,13.81367,13.81433,13.815,13.80401,13.61797,11.37986,7.254717,4.835067
7,v8,3.737382,6.305395,7.736912,9.092904,13.58959,13.81367,13.81433,13.815,13.80401,13.61797,11.37986,7.254717,4.835067
8,v9,3.737382,6.305395,7.736912,9.092904,13.58959,13.81367,13.81433,13.815,13.80376,13.61797,11.37986,7.254717,4.835067
9,v10,3.737382,6.305395,7.736912,9.092904,13.58959,13.81367,13.81433,13.815,13.80402,13.61797,11.37986,7.254717,4.835067
10,v13,11.21215,18.91619,23.21073,27.27871,40.76876,41.441,41.44298,41.44501,41.41204,40.85392,34.13957,21.76415,14.5052
11,v23,0.06486571,0.1429554,0.2094697,0.3020046,1.713707,1.96012,1.960256,1.960395,1.957284,1.746584,0.6125768,0.18435,0.0936889
12,v24,0.06486571,0.1429554,0.2094697,0.3020046,1.713707,1.96012,1.960256,1.960395,1.957284,1.746584,0.6125768,0.1843499,0.09368889
13,v25,0.01430621,0.01438938,0.01435073,0.01426579,0.01399093,0.01419201,0.01419324,0.01419486,0.01417005,0.01400333,0.01402924,0.01436969,0.01436972
14,v112,2.20326,3.717154,4.561061,5.360445,8.011328,8.143428,8.143816,8.144217,8.137737,8.028062,6.70865,4.276798,2.850367
15,v113,1.10163,1.858577,2.280531,2.680223,4.005664,4.071714,4.071908,4.072108,4.068868,4.014031,3.354325,2.138398,1.425184
16,v121,2.20326,3.717154,4.561061,5.360445,8.011328,8.143428,8.143816,8.144217,8.137737,8.028062,6.70865,4.276798,2.850367
17,v122,1.10163,1.858577,2.280531,2.680223,4.005664,4.071714,4.071908,4.072108,4.068868,4.014031,3.354325,2.138398,1.425184
18,v123,1.10163,1.858577,2.280531,2.680223,4.005664,4.071714,4.071908,4.072108,4.068868,4.014031,3.354325,2.138398,1.425184
19,v124,1.10163,1.858577,2.280531,2.680223,4.005664,4.071714,4.071908,4.072108,4.068869,4.014031,3.354324,2.1384,1.425183
20,v131,1.10163,1.858577,2.280531,2.680223,4.005664,4.071714,4.071908,4.072108,4.068868,4.014031,3.354325,2.138399,1.425184
21,vlin,1.10163,1.858577,2.280531,2.680223,4.005664,4.071714,4.071908,4.072108,4.068868,4.014031,3.354325,2.138398,1.425184
22,v2out,2.20326,3.717154,4.561061,5.360445,8.011328,8.143428,8.143816,8.144217,8.137737,8.028062,6.70865,4.276798,2.850367
23,v51,1.265371,2.090208,2.526614,2.910326,3.084296,2.91809,2.918188,2.91829,2.917503,3.06158,3.403457,2.382347,1.622635
24,v52,1.265371,2.090208,2.526614,2.910326,3.084296,2.91809,2.918188,2.91829,2.917503,3.06158,3.403457,2.382348,1.622635
25,v55,0.6326852,1.045102,1.263307,1.455162,1.542148,1.459045,1.459094,1.459144,1.458752,1.53079,1.701728,1.191159,0.8113178
26,v56,0.6326855,1.045104,1.263307,1.455163,1.542148,1.459045,1.459094,1.459145,1.458752,1.53079,1.701728,1.191174,0.8113175
27,v57,0.6326855,1.045104,1.263307,1.455163,1.542148,1.459045,1.459094,1.459145,1.458752,1.53079,1.701728,1.191174,0.8113175
28,v58,0.07225357,0.06690476,0.06467666,0.06298447,0.06229037,0.06295255,0.06295215,0.06295173,0.06295506,0.06237853,0.06112627,0.06537519,0.06972401
29,v59,0.07225357,0.06690476,0.06467666,0.06298444,0.06229036,0.06295255,0.06295215,0.06295173,0.06295493,0.06237853,0.0611263,0.06537492,0.06972402
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.6326855,1.045104,1.263307,1.455163,1.542148,1.459045,1.459094,1.459145,1.458751,1.53079,1.701728,1.191174,0.8113175
32,vdhap_in,22.17366,20.14062,19.25725,18.51787,18.18555,18.50304,18.50285,18.50266,18.50415,18.22898,17.57037,19.54202,21.2045
33,vgap_in,22.17366,20.14062,19.25725,18.51787,18.18555,18.50304,18.50285,18.50266,18.50415,18.22898,17.57037,19.54202,21.2045
34,vpga_in,22.17366,20.14062,19.25725,18.51787,18.18555,18.50304,18.50285,18.50266,18.50415,18.22898,17.57037,19.54202,21.2045
35,vpga_use,0.003891219,0.009271543,0.01291399,0.01655019,0.01589961,0.01391527,0.01391605,0.01391688,0.01391292,0.01561891,0.02153093,0.01165011,0.005975963
36,Vbf1,57.1962,96.5711,118.573,139.4827,211.4135,215.4109,215.4213,215.4319,215.2569,211.9238,175.1095,111.1555,74.01649
37,Vbf2,57.1962,96.5711,118.573,139.4827,211.4135,215.4109,215.4213,215.4319,215.2569,211.9238,175.1095,111.1555,74.01649
38,Vbf3,57.1962,96.5711,118.573,139.4827,211.4135,215.4109,215.4213,215.4319,215.2569,211.9238,175.1095,111.1555,74.01649
39,Vbf4,57.1962,96.5711,118.573,139.4827,211.4135,215.4109,215.4213,215.4319,215.2569,211.9238,175.1095,111.1555,74.01649
40,Vbf5,21.31877,35.96452,44.12802,51.86064,77.51595,78.79637,78.80013,78.804,78.7413,77.67818,64.90329,41.37826,27.57924
41,Vbf6,35.87743,60.60658,74.44496,87.62202,133.8976,136.6145,136.6211,136.6279,136.5156,134.2457,110.2062,69.77728,46.43725
42,Vbf7,35.87743,60.60658,74.44496,87.62203,133.8976,136.6145,136.6211,136.6279,136.5156,134.2457,110.2062,69.7773,46.43725
43,Vbf8,57.1962,96.5711,118.573,139.4827,211.4135,215.4109,215.4213,215.4319,215.2569,211.9238,175.1095,111.1555,74.01649
44,Vbf9,57.1962,96.57113,118.573,139.4826,211.4135,215.4109,215.4213,215.4319,215.2248,211.9238,175.1095,111.1556,74.01648
45,Vbf10,57.19619,96.57121,118.573,139.4823,211.4135,215.4109,215.4213,215.432,215.2043,211.9238,175.1095,111.1599,74.01645
46,Vbf11,33.69741,56.88224,69.82876,82.12159,124.0041,126.2692,126.2753,126.2815,126.1795,124.2927,103.0098,65.46515,43.60332
47,Vqi,71.75485,121.2132,148.8899,175.244,267.7952,273.229,273.2422,273.2559,273.0312,268.4913,220.4124,139.5546,92.87449
48,Vipc,6871.443,11611.25,14264.59,16790.2,25543.51,26056.24,26060.42,26061.9,26034.73,25608.31,21107.24,13369.72,8895.259
49,Vicp,6870.021,11608.78,14261.5,16786.5,25536.33,26045.93,26050.06,26051.5,26025.02,25601.01,21102.36,13366.84,8893.399
50,Vinc,27.0737,46.99586,58.74483,70.49379,136.901,196.6675,197.5188,198.3702,185.259,139.1146,92.97007,54.8285,35.41717
51,Vinp,29.92357,51.94279,64.92849,77.91419,151.3116,217.3693,218.3103,219.2513,204.76,153.7582,102.7564,60.59993,39.14529
52,Vdp,24.17257,42.1595,52.85666,63.63434,128.0342,190.6439,191.5378,192.4334,178.644,130.324,84.57699,49.29751,31.68112
53,Vdc,24.16757,42.15054,52.84522,63.62031,127.9981,190.5685,191.4617,192.3566,178.5774,130.2869,84.55743,49.28689,31.67449
54,Vfp,4.329009,7.315087,8.986691,10.57783,16.09241,16.41543,16.41806,16.419,16.40188,16.13324,13.29756,8.422922,5.604013
55,Vfc,4.328113,7.313532,8.984748,10.5755,16.08789,16.40894,16.41154,16.41244,16.39576,16.12864,13.29449,8.421108,5.602841
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.41909,1.472781,1.496923,1.522673,2.049892,2.176045,2.176067,2.176089,2.175202,2.066415,1.608192,1.488784,1.445098
58,VgPQH2,206.2745,612.563,379.5075,479.4441,730.8476,1245.074,713.7882,742.5946,682.1797,602.0256,572.4323,323.0149,111.5156
59,Vbf12,-8.031061e-09,-4.579351e-08,-7.739258e-11,6.763426e-09,-1.035234e-08,-1.735957e-10,-8.159795e-09,-3.696048e-09,-6.440334e-08,7.80225e-10,-4.458556e-08,1.481214e-07,-1.140722e-08
60,Vbf13,-2.164178e-09,-1.231449e-08,-2.089911e-11,1.752857e-09,-3.017764e-09,-5.817627e-11,-2.629739e-09,-1.238133e-09,-1.979561e-08,2.287743e-10,-1.234365e-08,3.990711e-08,-3.057952e-09
61,Vbf14,7.456693e-10,4.032133e-09,7.720941e-12,-6.514977e-10,1.063556e-09,1.803978e-11,5.977134e-10,3.690749e-10,6.139839e-09,-6.764587e-11,5.342357e-09,-1.428226e-08,1.093302e-09
62,Vbf15,57.1962,96.5711,118.573,139.4827,211.4135,215.4109,215.4213,215.4319,215.2569,211.9238,175.1095,111.1555,74.01649
63,Vbf16,57.1962,96.5711,118.573,139.4827,211.4135,215.4109,215.4213,215.4319,215.2569,211.9238,175.1095,111.1555,74.01649
64,vbfn2,21.31877,35.96452,44.12802,51.86064,77.51595,78.79637,78.80013,78.804,78.7413,77.67818,64.90329,41.37826,27.57924
65,VsNADPH,0.6651362,0.6796124,0.7644994,0.7858648,0.9053042,0.856994,0.9022225,0.8978099,0.9105699,0.9289639,0.8442403,0.765702,0.8302738
66,vA_d,10.4511,18.27628,24.08989,29.7234,79.94653,145.8983,148.9237,149.76,134.8996,82.78325,42.40786,22.44853,14.51207
67,vA_f,0.3743324,0.6342229,0.8191527,0.9881741,2.009671,2.51252,2.55306,2.555593,2.477114,2.049602,1.33351,0.7671065,0.5134025
68,vA_U,2970.892,5033.515,6501.212,7842.651,15949.77,19940.64,20262.38,20282.49,19659.63,16266.68,10583.41,6088.146,4074.623
69,vU_A,2930.493,4963.506,6414.973,7739.984,15772.7,19716.94,20040.14,20059.48,19446.49,16088.3,10451.25,6007.623,4022.637
70,vU_f,0.3692421,0.6254018,0.8082865,0.975238,1.98736,2.484335,2.525058,2.527494,2.450257,2.027126,1.316857,0.7569605,0.5068523
71,vU_d,8.553611,16.64629,21.27908,26.81383,75.3166,140.7347,141.3589,142.3578,127.7124,77.38407,38.94283,19.53784,10.94836
72,v1,141.149,462.2138,433.0758,602.4225,1517.754,2770.497,1781.113,1838.525,1682.504,1335.115,899.2673,367.923,143.0262
73,v_r1,98.5115,390.2847,344.8197,498.7012,1362.722,2612.904,1623.513,1680.917,1525.021,1179.758,769.4607,285.1665,87.86775
74,vS1_S2,10.65938,17.98226,22.06401,25.93032,38.75798,39.39818,39.40007,39.402,39.37065,38.83909,32.45164,20.68912,13.78962
75,vS2_S3,10.65938,17.98226,22.06401,25.93032,38.75798,39.39818,39.40007,39.402,39.37065,38.83909,32.45164,20.68912,13.78962
76,vS3_S0,10.65938,17.98226,22.06401,25.93032,38.75798,39.39818,39.40007,39.402,39.37065,38.83909,32.45164,20.68912,13.78962
77,vS0_S1,10.65938,17.98226,22.06401,25.93032,38.75798,39.39818,39.40007,39.402,39.37065,38.83909,32.45164,20.68912,13.78962
78,vz_1,0.6011354,2.183182,1.947476,2.750931,7.070013,13.32256,8.367579,8.655024,7.874782,6.151256,4.125375,1.631769,0.5595122
79,v1z_1,0.1502838,0.5457955,0.4868691,0.6877326,1.767503,3.33064,2.091895,2.163756,1.968695,1.537814,1.031344,0.4079422,0.1398781
80,v2z_1,0.1502838,0.5457955,0.4868691,0.6877326,1.767503,3.33064,2.091895,2.163756,1.968695,1.537814,1.031344,0.4079422,0.1398781
81,v3z_1,0.1502838,0.5457955,0.4868691,0.6877326,1.767503,3.33064,2.091895,2.163756,1.968695,1.537814,1.031344,0.4079422,0.1398781
82,v0z_1,0.1502838,0.5457955,0.4868691,0.6877326,1.767503,3.33064,2.091895,2.163756,1.968695,1.537814,1.031344,0.4079422,0.1398781
83,vz_2,42.0364,69.74587,86.30857,100.9703,147.9619,144.2702,149.2327,148.953,149.6078,149.2051,125.6812,81.12473,54.59897
84,v1z_2,10.5091,17.43647,21.57714,25.24259,36.99047,36.06754,37.30817,37.23825,37.40195,37.30128,31.4203,20.28118,13.64974
85,v2z_2,10.5091,17.43647,21.57714,25.24259,36.99047,36.06754,37.30817,37.23825,37.40195,37.30128,31.4203,20.28118,13.64974
86,v3z_2,10.5091,17.43647,21.57714,25.24259,36.99047,36.06754,37.30817,37.23825,37.40195,37.30128,31.4203,20.28118,13.64974
87,v0z_2,10.5091,17.43647,21.57714,25.24259,36.99047,36.06754,37.30817,37.23825,37.40195,37.30128,31.4203,20.28118,13.64974
88,v1z,10.65938,17.98226,22.06401,25.93032,38.75798,39.39818,39.40007,39.402,39.37065,38.83909,32.45164,20.68912,13.78962
89,v2z,10.65938,17.98226,22.06401,25.93032,38.75798,39.39818,39.40007,39.402,39.37065,38.83909,32.45164,20.68912,13.78962
90,v3z,10.65938,17.98226,22.06401,25.93032,38.75798,39.39818,39.40007,39.402,39.37065,38.83909,32.45164,20.68912,13.78962
91,v0z,10.65938,17.98226,22.06401,25.93032,38.75798,39.39818,39.40007,39.402,39.37065,38.83909,32.45164,20.68912,13.78962
92,vAB1,22.4339,36.44942,45.08387,52.69812,78.11197,79.0783,79.3099,79.29235,79.28973,78.39854,65.70409,42.46731,31.13131
93,vBA1,1.115134,0.4848978,0.9558439,0.8374856,0.5960157,0.2819302,0.5097726,0.4883463,0.5484324,0.7203571,0.8008018,1.089051,3.552071
94,vAB2,57.08404,44.82457,68.54634,70.36468,87.37242,81.76837,87.53395,86.89391,88.48519,91.66454,80.63836,71.78436,147.6348
95,vBA2,35.76527,8.860049,24.41832,18.50404,9.856464,2.972005,8.733816,8.089911,9.743894,13.98636,15.73508,30.4061,120.0555
96,v3,3.688732,2.713669,4.633467,4.435826,3.601786,1.850183,3.117047,3.003762,3.323543,4.210072,4.503634,4.910811,6.69403
97,v_r3,0.1229375,0.06218372,0.122146,0.1074543,0.07140803,0.02867039,0.06077073,0.0577697,0.06601153,0.08889971,0.100804,0.1365939,0.2835761
98,v3_n,18.26723,34.05516,40.58978,48.63194,75.46514,78.24361,77.24345,77.34422,76.9992,75.09988,61.82196,37.53753,21.91199
99,v_r3_n,0.5142602,0.7421182,0.9730719,1.09967,1.479563,1.268751,1.499601,1.486209,1.515439,1.542868,1.321504,0.9334798,0.7431997
100,v_pq_ox,2865.419,2545.027,2697.949,2608.419,2367.696,2005.53,2363.515,2342.925,2389.084,2459.975,2514.12,2747.642,2984.133
101,Ic,11.21495,19.46747,24.33433,29.2012,56.70958,81.46712,81.81979,82.17246,76.74132,57.62652,38.51173,22.71204,14.67113
102,Ia,51.22506,88.91897,111.1487,133.3785,259.0248,372.1066,373.7174,375.3283,350.5212,263.213,175.9049,103.7388,67.0114
103,v2_1,42.04909,69.75967,86.34123,101.0072,148.0197,144.3059,149.2938,149.0118,149.6715,149.2749,125.7312,81.15786,54.6358
104,v2_2,1470.052,948.0015,1790.77,1710.444,1774.531,1131.557,1856.219,1791.113,1930.781,2120.236,1833.464,1938.42,3258.763
