,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
0,vc,11.4845,20.80075,25.05367,25.96216,26.15513,25.81246,24.55614,25.84935,26.07778,22.74949,14.19593,6.700335
1,vo,4.167761,7.548659,9.092056,9.421751,9.491781,9.367426,8.911504,9.380812,9.463711,8.255865,5.151747,2.431573
2,v2,29.21592,52.91292,63.73345,66.04662,66.5381,65.66537,62.46716,65.75931,66.3411,57.87027,36.11283,17.04608
3,v3,29.21592,52.91292,63.73345,66.04662,66.5381,65.66537,62.46716,65.75931,66.3411,57.87027,36.11283,17.04608
4,v5,5.307094,9.79209,12.17496,12.86223,13.02662,12.73723,11.85075,12.76765,12.96095,10.80852,6.583856,3.077073
5,v6,5.307094,9.79209,12.17496,12.86223,13.02662,12.73723,11.85075,12.76765,12.96095,10.80852,6.583856,3.077073
6,v7,5.217419,9.449802,11.38191,11.79464,11.8823,11.72663,11.15588,11.74339,11.84716,10.33512,6.449225,3.043971
7,v8,5.217419,9.449802,11.38191,11.79464,11.8823,11.72663,11.15588,11.74339,11.84716,10.33512,6.449224,3.04397
8,v9,5.217419,9.449802,11.38191,11.79464,11.8823,11.72663,11.15588,11.74339,11.84716,10.33512,6.449224,3.04397
9,v10,5.217419,9.449802,11.38191,11.79464,11.8823,11.72663,11.15588,11.74339,11.84716,10.33512,6.449224,3.043969
10,v13,15.65226,28.34941,34.14572,35.38391,35.64691,35.17989,33.46765,35.23016,35.54149,31.00536,19.34767,9.131911
11,v23,0.1048866,0.3567866,0.8059587,1.079718,1.156269,1.022867,0.7081008,1.036496,1.125797,0.4874378,0.1497744,0.04823621
12,v24,0.1048866,0.3567866,0.8059587,1.079718,1.156269,1.022867,0.7081008,1.036496,1.125797,0.4874378,0.1497744,0.04823629
13,v25,0.01521111,0.01449892,0.01290889,0.01212108,0.01195412,0.01226625,0.01323569,0.01223012,0.01201526,0.0140332,0.01514305,0.0151352
14,v112,4.167761,7.548659,9.092056,9.421751,9.491781,9.367426,8.911504,9.380812,9.463711,8.255865,5.151747,2.431573
15,v113,2.08388,3.774329,4.546028,4.710875,4.74589,4.683713,4.455752,4.690406,4.731855,4.127932,2.575873,1.215786
16,v121,4.167761,7.548659,9.092056,9.421751,9.491781,9.367426,8.911504,9.380812,9.463711,8.255865,5.151747,2.431573
17,v122,2.08388,3.774329,4.546028,4.710875,4.74589,4.683713,4.455752,4.690406,4.731855,4.127932,2.575873,1.215786
18,v123,2.08388,3.774329,4.546028,4.710875,4.74589,4.683713,4.455752,4.690406,4.731855,4.127932,2.575873,1.215786
19,v124,2.08388,3.774329,4.546028,4.710875,4.74589,4.683713,4.455752,4.690406,4.731856,4.127932,2.575874,1.215787
20,v131,2.08388,3.774329,4.546028,4.710875,4.74589,4.683713,4.455752,4.690406,4.731855,4.127932,2.575874,1.215786
21,vlin,2.08388,3.774329,4.546028,4.710875,4.74589,4.683713,4.455752,4.690406,4.731855,4.127932,2.575873,1.215786
22,v2out,4.167761,7.548659,9.092056,9.421751,9.491781,9.367426,8.911504,9.380812,9.463711,8.255865,5.151747,2.431573
23,v51,1.474735,2.489667,2.618908,2.469121,2.418977,2.505511,2.649009,2.496921,2.438858,2.623929,1.798721,0.880011
24,v52,1.474735,2.489667,2.618908,2.469121,2.418977,2.505511,2.64901,2.496921,2.438858,2.623929,1.798721,0.8800106
25,v55,0.7373676,1.244834,1.309454,1.234561,1.209489,1.252755,1.324505,1.248461,1.21943,1.311965,0.899361,0.4400149
26,v56,0.7373676,1.244834,1.309454,1.234561,1.209489,1.252755,1.324505,1.248461,1.219429,1.311965,0.8993605,0.4400054
27,v57,0.7373676,1.244834,1.309454,1.234561,1.209489,1.252755,1.324505,1.248461,1.219429,1.311965,0.8993605,0.4400054
28,v58,0.07072692,0.06485211,0.06424832,0.06495068,0.06519429,0.0647766,0.06411168,0.06481749,0.06509709,0.06422543,0.06860349,0.07545021
29,v59,0.07072691,0.06485211,0.06424834,0.06495068,0.06519429,0.0647766,0.06411163,0.06481749,0.06509721,0.06422543,0.06860331,0.07544927
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.7373676,1.244834,1.309454,1.234561,1.209489,1.252755,1.324505,1.248461,1.219429,1.311965,0.8993605,0.4400054
32,vdhap_in,21.58394,19.32967,19.07759,19.37008,19.46918,19.29857,19.01932,19.31542,19.42982,19.06786,20.78344,23.49929
33,vgap_in,21.58394,19.32967,19.07759,19.37008,19.46918,19.29857,19.01932,19.31542,19.42982,19.06786,20.78344,23.49929
34,vpga_in,21.58394,19.32967,19.07759,19.37008,19.46918,19.29857,19.01932,19.31542,19.42982,19.06786,20.78344,23.49929
35,vpga_use,0.00471756,0.01156267,0.0119638,0.01032434,0.009829982,0.01069475,0.01238087,0.01060627,0.01002423,0.01251976,0.006642112,0.001945039
36,Vbf1,80.42675,146.0538,176.7952,183.7786,185.305,182.6004,173.0927,182.8898,184.6937,159.9638,99.4609,46.89391
37,Vbf2,80.42675,146.0538,176.7952,183.7786,185.305,182.6004,173.0927,182.8898,184.6937,159.9638,99.4609,46.89391
38,Vbf3,80.42675,146.0538,176.7952,183.7786,185.305,182.6004,173.0927,182.8898,184.6937,159.9638,99.4609,46.89391
39,Vbf4,80.42675,146.0538,176.7952,183.7786,185.305,182.6004,173.0927,182.8898,184.6937,159.9638,99.4609,46.89391
40,Vbf5,29.21592,52.91292,63.73345,66.04662,66.5381,65.66537,62.46716,65.75931,66.3411,57.87027,36.11283,17.04606
41,Vbf6,51.21084,93.14088,113.0617,117.732,118.7669,116.935,110.6256,117.1305,118.3526,102.0935,63.34808,29.84785
42,Vbf7,51.21084,93.14088,113.0617,117.732,118.7669,116.935,110.6256,117.1305,118.3526,102.0935,63.34807,29.84786
