,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
0,vc,11.46308,20.80738,24.91509,25.96324,26.15496,25.78967,24.58876,25.85376,26.07615,22.7448,14.17449,6.733008
1,vo,4.15999,7.551067,9.041766,9.422145,9.491721,9.359155,8.92334,9.382412,9.463121,8.25416,5.143969,2.44343
2,v2,29.16145,52.9298,63.38073,66.04938,66.53768,65.60733,62.55016,65.77053,66.33696,57.85831,36.05831,17.1292
3,v3,29.16145,52.9298,63.38073,66.04938,66.53768,65.60734,62.55016,65.77053,66.33696,57.85831,36.05831,17.1292
4,v5,5.297039,9.795459,12.08253,12.86317,13.02649,12.71912,11.8712,12.77092,12.95958,10.80599,6.573708,3.092247
5,v6,5.297039,9.795459,12.08253,12.86317,13.02649,12.71912,11.8712,12.77092,12.95958,10.80599,6.573708,3.092247
6,v7,5.207691,9.452817,11.31895,11.79513,11.88223,11.71628,11.1707,11.74539,11.84643,10.33299,6.439487,3.058813
7,v8,5.207691,9.452817,11.31895,11.79513,11.88223,11.71628,11.1707,11.74539,11.84643,10.33299,6.439487,3.058813
8,v9,5.207692,9.452817,11.31895,11.79513,11.88223,11.71628,11.1707,11.74539,11.84643,10.33299,6.439487,3.058813
9,v10,5.207691,9.452817,11.31895,11.79513,11.88223,11.71628,11.1707,11.74539,11.84643,10.33299,6.439487,3.058813
10,v13,15.62307,28.35845,33.95685,35.38539,35.64669,35.14883,33.5121,35.23617,35.53928,30.99896,19.31846,9.176438
11,v23,0.1045599,0.3571399,0.7765794,1.080165,1.156212,1.015131,0.7137167,1.037754,1.12517,0.4870408,0.1493661,0.04857157
12,v24,0.1045599,0.3571399,0.7765794,1.080165,1.156212,1.015131,0.7137167,1.037754,1.12517,0.4870408,0.1493661,0.04857157
13,v25,0.01521123,0.01449755,0.01300284,0.01212001,0.01195397,0.01228612,0.01321685,0.01222712,0.01201663,0.01403455,0.0151438,0.01513698
14,v112,4.15999,7.551067,9.041766,9.422145,9.491721,9.359155,8.92334,9.382412,9.463121,8.25416,5.143969,2.44343
15,v113,2.079996,3.775533,4.520883,4.711072,4.745861,4.679578,4.46167,4.691207,4.73156,4.12708,2.571985,1.221715
16,v121,4.15999,7.551067,9.041766,9.422145,9.491721,9.359155,8.92334,9.382412,9.463121,8.25416,5.143969,2.44343
17,v122,2.079996,3.775533,4.520883,4.711072,4.745861,4.679578,4.46167,4.691207,4.73156,4.12708,2.571985,1.221715
18,v123,2.079996,3.775533,4.520883,4.711072,4.745861,4.679578,4.46167,4.691207,4.73156,4.12708,2.571985,1.221715
19,v124,2.079994,3.775533,4.520883,4.711073,4.745861,4.679578,4.46167,4.691206,4.73156,4.12708,2.571984,1.221715
20,v131,2.079995,3.775533,4.520883,4.711073,4.745861,4.679578,4.46167,4.691206,4.73156,4.12708,2.571985,1.221715
21,vlin,2.079996,3.775533,4.520883,4.711072,4.745861,4.679578,4.46167,4.691207,4.73156,4.12708,2.571985,1.221715
22,v2out,4.15999,7.551067,9.041766,9.422145,9.491721,9.359155,8.92334,9.382412,9.463121,8.25416,5.143969,2.44343
23,v51,1.472152,2.490216,2.629408,2.468823,2.419011,2.510132,2.647834,2.496269,2.439265,2.623688,1.79622,0.8841339
24,v52,1.472152,2.490216,2.629408,2.468823,2.419011,2.510131,2.647834,2.49627,2.439265,2.623688,1.79622,0.8841339
25,v55,0.736131,1.245118,1.314704,1.234412,1.209505,1.255066,1.323917,1.248133,1.219633,1.311844,0.89811,0.4420669
26,v56,0.7360756,1.245108,1.314704,1.234412,1.209506,1.255066,1.323917,1.248135,1.219632,1.311844,0.8981098,0.4420669
27,v57,0.7360757,1.245108,1.314704,1.234412,1.209506,1.255066,1.323917,1.248135,1.219632,1.311844,0.8981098,0.4420669
28,v58,0.07074445,0.0648495,0.0642005,0.06495211,0.06519412,0.06475463,0.06411696,0.06482088,0.0650952,0.06422653,0.06861835,0.07541221
29,v59,0.07074516,0.06484951,0.06420049,0.06495212,0.06519412,0.06475466,0.06411696,0.0648205,0.0650952,0.06422654,0.06861884,0.07541221
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.7360758,1.245108,1.314704,1.234412,1.209506,1.255066,1.323917,1.248135,1.219632,1.311844,0.89811,0.4420669
32,vdhap_in,21.59081,19.32858,19.05724,19.37067,19.46911,19.28952,19.02159,19.31669,19.42901,19.06832,20.78925,23.48288
33,vgap_in,21.59081,19.32858,19.05724,19.37067,19.46911,19.28952,19.02159,19.31669,19.42901,19.06832,20.78925,23.48288
34,vpga_in,21.59081,19.32858,19.05724,19.37067,19.46911,19.28952,19.02159,19.31669,19.42901,19.06832,20.78925,23.48288
35,vpga_use,0.004703385,0.0115668,0.01210056,0.01032136,0.009830319,0.01074306,0.01236151,0.0105993,0.01002824,0.01251827,0.006626192,0.001960639
36,Vbf1,80.27648,146.101,175.7589,183.7872,185.3037,182.4236,173.3336,182.9235,184.6809,159.93,99.31031,47.12271
37,Vbf2,80.27648,146.101,175.7589,183.7872,185.3037,182.4232,173.3336,182.9235,184.6809,159.93,99.31031,47.12271
38,Vbf3,80.27648,146.101,175.7589,183.7872,185.3037,182.4232,173.3336,182.9235,184.6809,159.93,99.31031,47.12271
39,Vbf4,80.27648,146.101,175.7589,183.7872,185.3037,182.4232,173.3336,182.9235,184.6809,159.93,99.31031,47.12271
40,Vbf5,29.16147,52.9298,63.38073,66.04938,66.53768,65.60733,62.55016,65.77055,66.33696,57.85831,36.05832,17.1292
41,Vbf6,51.11501,93.17116,112.3782,117.7378,118.766,116.8159,110.7834,117.153,118.3439,102.0717,63.25199,29.99351
