,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,16.57305,29.13374,33.08875,33.27981,33.34516,33.37235,33.39497,33.39251,33.38992,33.38008,33.37331,33.32616,33.26262,32.6279,17.65495
1,vo,4.053192,7.1251,8.092357,8.139085,8.155066,8.161716,8.167248,8.166647,8.166014,8.163607,8.161951,8.150419,8.134879,7.979648,4.317787
2,v2,39.21522,68.93327,78.30149,78.75411,78.90871,78.97305,79.02656,79.02075,79.01462,78.99134,78.97532,78.86376,78.71341,77.20884,41.77476
3,v3,39.21522,68.93327,78.30149,78.75411,78.90871,78.97305,79.02656,79.02075,79.01462,78.99134,78.97532,78.86376,78.71341,77.20884,41.77476
4,v5,7.027714,12.87372,15.58878,15.72824,15.7589,15.77158,15.78215,15.781,15.77982,15.77521,15.77198,15.75006,15.71983,15.17499,7.497679
5,v6,7.027714,12.87372,15.58878,15.72824,15.7589,15.77158,15.78215,15.781,15.77982,15.77521,15.77198,15.75006,15.71983,15.17499,7.497679
6,v7,6.875416,12.08628,13.72703,13.8063,13.83341,13.84469,13.85407,13.85305,13.85198,13.8479,13.84509,13.82553,13.79917,13.53585,7.324247
7,v8,6.875416,12.08628,13.72703,13.8063,13.83341,13.8447,13.85408,13.85305,13.85198,13.8479,13.84509,13.82553,13.79916,13.53585,7.324247
8,v9,6.875415,12.08628,13.72703,13.8063,13.83341,13.8452,13.85408,13.85305,13.85198,13.8479,13.84509,13.82553,13.79919,13.53585,7.324247
9,v10,6.875415,12.08628,13.72703,13.8063,13.83341,13.84468,13.85407,13.85305,13.85198,13.8479,13.84509,13.82553,13.79916,13.53585,7.324247
10,v13,20.62625,36.25884,41.1811,41.4189,41.50022,41.53407,41.56222,41.55916,41.55594,41.54369,41.53526,41.47658,41.3975,40.60754,21.97274
11,v23,0.1666777,0.801394,1.87582,1.936142,1.939762,1.941185,1.942391,1.94226,1.942156,1.941613,1.941192,1.938784,1.93485,1.653112,0.1877994
12,v24,0.1666777,0.801394,1.87582,1.936142,1.939762,1.941184,1.942391,1.94226,1.942156,1.941613,1.941192,1.938784,1.93485,1.653112,0.1877994
13,v25,0.01438053,0.0139492,0.01407841,0.0142028,0.0142678,0.01429587,0.01431898,0.01431638,0.01431331,0.01430236,0.0142956,0.01424789,0.0141856,0.01397332,0.01436747
14,v112,4.053192,7.1251,8.092357,8.139085,8.155066,8.161716,8.167248,8.166647,8.166014,8.163607,8.161951,8.150419,8.134879,7.979648,4.317787
15,v113,2.026596,3.56255,4.046178,4.069543,4.077533,4.080858,4.083624,4.083324,4.083007,4.081803,4.080975,4.075209,4.06744,3.989824,2.158894
