,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
0,vc,7.348242,13.0056,22.04852,31.86151,33.20504,33.24264,33.24879,33.26162,14.34517,33.29518,33.17635,26.76351,10.79382
1,vo,1.797124,3.180718,5.392301,7.792218,8.120797,8.129994,8.131497,8.134634,3.50833,8.142844,8.11378,6.545423,2.639793
2,v2,17.3894,30.77512,52.1688,75.39255,78.5771,78.66614,78.68069,78.71105,33.94146,78.79047,78.50913,63.32399,25.54208
3,v3,17.3894,30.77512,52.1688,75.39254,78.5771,78.66614,78.68069,78.71105,33.9429,78.79047,78.50913,63.32399,25.54208
4,v5,3.083474,5.491835,9.439288,14.56892,15.68598,15.70933,15.71274,15.71933,6.069499,15.73555,15.6645,11.6451,4.547233
5,v6,3.083474,5.491835,9.439288,14.56892,15.68598,15.70932,15.71274,15.71933,6.069369,15.73555,15.6645,11.6451,4.547233
6,v7,3.048455,5.395441,9.146941,13.21791,13.77528,13.79087,13.79343,13.79876,5.952117,13.81268,13.76338,11.10298,4.477872
7,v8,3.048456,5.395441,9.146941,13.21791,13.77528,13.79089,13.79343,13.79875,5.95135,13.81268,13.76338,11.10298,4.477872
8,v9,3.048456,5.395441,9.146941,13.21791,13.77528,13.79089,13.79343,13.79956,5.951327,13.81268,13.76338,11.10298,4.477872
9,v10,3.048456,5.395441,9.146941,13.21791,13.77528,13.79089,13.79343,13.79874,5.951173,13.81268,13.76338,11.10298,4.477872
10,v13,9.145367,16.18632,27.44082,39.65373,41.32583,41.37266,41.38029,41.39626,17.85431,41.43803,41.29013,33.30893,13.43362
11,v23,0.04925494,0.1107791,0.3066083,1.364929,1.924843,1.932606,1.933482,1.934755,0.1295143,1.937094,1.915242,0.5561888,0.08371585
12,v24,0.04925494,0.1107791,0.3066083,1.364929,1.924843,1.93261,1.933482,1.934755,0.1295198,1.937094,1.915242,0.5561889,0.08371585
13,v25,0.01423507,0.01438501,0.01426169,0.01391371,0.01413762,0.0141672,0.01417049,0.01418479,0.01440303,0.01421801,0.01411731,0.01406289,0.01435453
14,v112,1.797124,3.180718,5.392301,7.792218,8.120797,8.129995,8.131497,8.134635,3.508344,8.142844,8.11378,6.545423,2.639793
15,v113,0.8985624,1.590359,2.696151,3.896108,4.060399,4.064994,4.065749,4.067318,1.753166,4.071422,4.05689,3.272712,1.319896
16,v121,1.797125,3.180718,5.392301,7.792218,8.120797,8.129994,8.131497,8.134635,3.508271,8.142844,8.11378,6.545423,2.639793
17,v122,0.8985624,1.590359,2.696151,3.896108,4.060399,4.064995,4.065749,4.067318,1.753221,4.071422,4.05689,3.272712,1.319896
18,v123,0.8985624,1.590359,2.696151,3.896108,4.060399,4.064995,4.065749,4.067318,1.753216,4.071422,4.05689,3.272712,1.319896
19,v124,0.8985621,1.590359,2.696151,3.896109,4.060399,4.064999,4.065749,4.067316,1.755056,4.071422,4.05689,3.272711,1.319897
20,v131,0.8985623,1.590359,2.696151,3.896109,4.060399,4.064996,4.065749,4.067318,1.753927,4.071422,4.05689,3.272711,1.319897
21,vlin,0.8985624,1.590359,2.696151,3.896108,4.060399,4.064994,4.065749,4.067318,1.753184,4.071422,4.05689,3.272712,1.319896
22,v2out,1.797124,3.180718,5.392301,7.792218,8.120797,8.129994,8.131497,8.134635,3.508288,8.142844,8.11378,6.545423,2.639793
23,v51,1.038544,1.802562,2.924702,3.300482,2.939651,2.937418,2.937461,2.938076,1.970899,2.94067,2.945003,3.362429,1.506997
24,v52,1.038544,1.802562,2.924702,3.300482,2.939651,2.937393,2.937461,2.938075,1.971207,2.94067,2.945003,3.362428,1.506998
25,v55,0.5192727,0.9012811,1.46235,1.650242,1.469825,1.46917,1.468736,1.469037,0.9874898,1.470335,1.472501,1.681179,0.7534954
26,v56,0.519272,0.9012811,1.462351,1.650241,1.469825,1.468662,1.46873,1.469037,0.9859916,1.470335,1.472501,1.681215,0.7534985
27,v57,0.519272,0.9012811,1.462351,1.650241,1.469825,1.468664,1.46873,1.469038,0.9857895,1.470335,1.472501,1.681215,0.7534985
28,v58,0.07406786,0.06857974,0.06292543,0.06148699,0.0628644,0.06286921,0.06287333,0.0628706,0.06809873,0.06286024,0.06284262,0.06126816,0.07050363
29,v59,0.07406811,0.06857973,0.06292543,0.06148685,0.0628644,0.06287592,0.06287333,0.06287087,0.06744416,0.06286025,0.06284262,0.06126822,0.07050292
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.519272,0.9012811,1.462351,1.650241,1.469825,1.468671,1.46873,1.469038,0.9856323,1.470335,1.472501,1.681215,0.7534985
32,vdhap_in,22.90679,20.77458,18.49041,17.77023,18.46186,18.46601,18.46604,18.46488,20.37015,18.45991,18.45164,17.65026,21.49883
33,vgap_in,22.90679,20.77458,18.49041,17.77023,18.46186,18.46601,18.46604,18.46488,20.37015,18.45991,18.45164,17.65026,21.49883
34,vpga_in,22.90679,20.77458,18.49041,17.77023,18.46186,18.46601,18.46604,18.46488,20.37015,18.45991,18.45164,17.65026,21.49883
35,vpga_use,0.002770336,0.007168991,0.01669349,0.01880582,0.0141667,0.01413532,0.01413499,0.01413945,0.008382774,0.01416204,0.0142306,0.02115335,0.005259364
36,Vbf1,46.95378,83.735,142.7392,208.5702,218.1806,218.3298,218.3319,218.3793,94.31354,218.4455,218.0284,173.8347,69.34221
37,Vbf2,46.95378,83.735,142.7392,208.5702,218.1806,218.3298,218.3319,218.3793,94.31354,218.4455,218.0284,173.8347,69.34221
38,Vbf3,46.95378,83.735,142.7392,208.5702,218.1806,218.3298,218.3319,218.3793,94.31354,218.4455,218.0284,173.8347,69.34221
39,Vbf4,46.95378,83.735,142.7392,208.5702,218.1806,218.3298,218.3319,218.3793,94.31379,218.4455,218.0284,173.8347,69.34221
40,Vbf5,18.37845,32.46112,54.9808,79.4535,82.8581,82.96812,82.98876,83.02105,38.28652,83.12646,82.78013,66.735,26.94808
41,Vbf6,28.57534,51.27388,87.75843,129.1167,135.3225,135.3617,135.3432,135.3582,56.0736,135.319,135.2483,107.0997,42.39413
42,Vbf7,28.57542,51.27388,87.75843,129.1167,135.3225,135.3622,135.3432,135.3582,56.04482,135.3194,135.2483,107.0997,42.39413
43,Vbf8,46.95378,83.735,142.7392,208.5702,218.1806,218.3298,218.3319,218.3793,94.31244,218.4455,218.0284,173.8347,69.34221
44,Vbf9,46.95378,83.735,142.7392,208.5702,218.1806,218.3293,218.3319,218.4963,93.82225,218.4455,218.0284,173.8347,69.34221
45,Vbf10,46.95425,83.735,142.7392,208.57,218.1807,218.3208,218.3312,218.5642,94.05086,218.4453,218.0285,173.8348,69.34223
46,Vbf11,28.03958,49.86958,84.85838,123.6153,129.2012,129.3124,129.3222,129.3564,56.90184,129.43,129.1024,103.2488,41.3263
47,Vqi,57.15066,102.5478,175.5169,258.2334,270.6451,270.7233,270.6864,270.7165,112.0906,270.638,270.4966,214.1995,84.78827
48,Vipc,5639.87,10064.98,17182.75,25187.46,26503.99,26410.71,26457.99,26422.45,52558.51,26441.54,26374.15,20949.75,8332.52
49,Vicp,5638.717,10062.86,17178.95,25180.9,26494.68,26400.65,26447.67,26411.87,52547.39,26429.9,26365.22,20944.94,8330.785
