,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
0,vc,11.18243,20.3506,24.38823,25.83508,26.09191,25.64749,24.20026,25.67448,25.93978,22.21391,13.86626,6.641726
1,vo,4.05814,7.385298,8.850567,9.375633,9.468839,9.307557,8.782354,9.317353,9.413631,8.0615,5.032111,2.410304
2,v2,28.44755,51.76787,62.03984,65.72296,66.37707,65.24525,61.56151,65.314,65.98962,56.50777,35.27429,16.89699
3,v3,28.44755,51.76787,62.03984,65.72296,66.37707,65.24525,61.56151,65.314,65.98962,56.50777,35.27429,16.89699
4,v5,5.165579,9.564791,11.74659,12.75519,12.97104,12.60476,11.63169,12.62643,12.84155,10.52338,6.427928,3.049901
5,v6,5.165579,9.564791,11.74659,12.75519,12.97104,12.60476,11.63169,12.62643,12.84155,10.52338,6.427928,3.049901
6,v7,5.08019,9.245299,11.0796,11.7369,11.85358,11.65168,10.99421,11.66395,11.78447,10.0918,6.299462,3.017343
7,v8,5.08019,9.245299,11.0796,11.7369,11.85358,11.65168,10.99421,11.66395,11.78446,10.0918,6.299458,3.017343
8,v9,5.08019,9.245299,11.0796,11.7369,11.85358,11.65168,10.99421,11.66395,11.78446,10.0918,6.299458,3.017343
9,v10,5.08019,9.245299,11.0796,11.7369,11.85358,11.65168,10.99421,11.66395,11.78446,10.0918,6.299458,3.017343
10,v13,15.24057,27.7359,33.2388,35.21071,35.56075,34.95505,32.98262,34.99184,35.35339,30.27539,18.89838,9.052029
11,v23,0.1006033,0.334073,0.6803175,1.030533,1.129471,0.9655079,0.6509232,0.9748853,1.069236,0.4457597,0.1436153,0.04769017
12,v24,0.1006033,0.334073,0.6803175,1.030533,1.129471,0.9655079,0.6509232,0.9748853,1.069237,0.44576,0.1436152,0.04769017
13,v25,0.01521393,0.01458124,0.01333035,0.01224862,0.01201282,0.01242545,0.01343823,0.0123986,0.01215002,0.0141708,0.01515565,0.0151325
14,v112,4.05814,7.385298,8.850567,9.375633,9.468839,9.307557,8.782354,9.317353,9.413631,8.061501,5.032111,2.410304
15,v113,2.02907,3.692649,4.425284,4.687816,4.734419,4.653779,4.391177,4.658677,4.706819,4.030757,2.516051,1.205152
16,v121,4.05814,7.385298,8.850567,9.375633,9.468839,9.307557,8.782354,9.317353,9.413631,8.061501,5.032111,2.410304
17,v122,2.02907,3.692649,4.425284,4.687816,4.734419,4.653779,4.391177,4.658677,4.706819,4.030757,2.516051,1.205152
18,v123,2.02907,3.692649,4.425284,4.687816,4.734419,4.653779,4.391177,4.658677,4.706819,4.030757,2.516051,1.205152
19,v124,2.02907,3.692649,4.425284,4.687817,4.734419,4.653778,4.391177,4.658676,4.706812,4.030744,2.51606,1.205152
20,v131,2.02907,3.692649,4.425284,4.687817,4.734419,4.653778,4.391177,4.658677,4.706816,4.030752,2.516055,1.205152
21,vlin,2.02907,3.692649,4.425284,4.687816,4.734419,4.653779,4.391177,4.658677,4.706819,4.030757,2.516051,1.205152
22,v2out,4.05814,7.385298,8.850567,9.375633,9.468839,9.307557,8.782354,9.317353,9.413631,8.061501,5.032111,2.410304
23,v51,1.437914,2.451197,2.653936,2.500934,2.437121,2.54034,2.657754,2.534649,2.476563,2.592826,1.760014,0.8725793
24,v52,1.437914,2.451197,2.653936,2.500934,2.437121,2.54034,2.657754,2.534649,2.476564,2.592824,1.760014,0.8725793
25,v55,0.7189554,1.225599,1.326967,1.250479,1.21856,1.27017,1.328875,1.267322,1.238396,1.296537,0.8800195,0.4362897
26,v56,0.7189568,1.225599,1.326968,1.250467,1.21856,1.27017,1.328877,1.267325,1.23828,1.296411,0.8800088,0.4362896
27,v57,0.7189568,1.225599,1.326968,1.250467,1.21856,1.27017,1.328877,1.267325,1.23828,1.296411,0.8800086,0.4362896
28,v58,0.07098597,0.06503726,0.06408942,0.0647983,0.06510563,0.0646121,0.06407219,0.06463887,0.06491606,0.06436768,0.06884599,0.0755167
29,v59,0.07098597,0.06503726,0.06408941,0.06479841,0.06510564,0.06461207,0.06407221,0.0646388,0.0649148,0.06436832,0.06884254,0.07551666
