,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,17.39459,29.34003,33.09643,33.27963,33.34739,33.37441,33.39353,33.40229,33.39009,33.38057,33.37014,33.32499,33.25906,32.64159,19.74848
1,vo,4.254112,7.175552,8.094236,8.139039,8.155612,8.162221,8.166895,8.169038,8.166054,8.163727,8.161175,8.150133,8.134009,7.982998,4.829792
2,v2,41.1588,69.42159,78.31971,78.75364,78.91397,78.97791,79.02313,79.04386,79.01499,78.99248,78.96779,78.86097,78.70498,77.24131,46.72751
3,v3,41.1588,69.42159,78.31971,78.75364,78.91397,78.97791,79.02314,79.04386,79.01499,78.99248,78.96779,78.86097,78.70498,77.24131,46.72752
4,v5,7.384355,12.98822,15.59528,15.72646,15.75818,15.77081,15.77978,15.78366,15.77815,15.77367,15.76879,15.74775,15.71641,15.18656,8.414928
5,v6,7.384355,12.98822,15.59528,15.72646,15.75818,15.77081,15.77978,15.78366,15.77815,15.77367,15.76879,15.74775,15.71641,15.18656,8.414928
6,v7,7.216236,12.17186,13.73022,13.80622,13.83433,13.84554,13.85347,13.85711,13.85205,13.8481,13.84377,13.82504,13.79769,13.54153,8.192763
7,v8,7.216235,12.17186,13.73022,13.80622,13.83433,13.84554,13.85347,13.85711,13.85205,13.8481,13.84377,13.82504,13.79769,13.54153,8.19276
8,v9,7.216235,12.17186,13.73022,13.80622,13.83433,13.84521,13.85347,13.85711,13.85205,13.8481,13.84377,13.82504,13.79769,13.54153,8.19276
9,v10,7.216235,12.17186,13.73022,13.80622,13.83433,13.84555,13.85347,13.85711,13.85205,13.8481,13.84377,13.82504,13.79769,13.54153,8.19276
10,v13,21.64871,36.51559,41.19067,41.41867,41.503,41.53663,41.56042,41.57133,41.55614,41.5443,41.53131,41.47512,41.39307,40.62459,24.57828
11,v23,0.1824886,0.8302992,1.879143,1.934447,1.938117,1.939567,1.940621,1.94088,1.940418,1.939881,1.939312,1.936963,1.9329,1.659003,0.2364786
12,v24,0.1824886,0.8302992,1.879143,1.934447,1.938117,1.939568,1.940621,1.94088,1.940418,1.939881,1.939312,1.936962,1.9329,1.659004,0.2364786
13,v25,0.01437108,0.01393981,0.01408186,0.01420441,0.01427309,0.01429977,0.01431842,0.01432545,0.01431606,0.01430644,0.014296,0.01425033,0.01418451,0.01397615,0.01432756
14,v112,4.254112,7.175552,8.094236,8.139039,8.155612,8.162221,8.166895,8.169038,8.166054,8.163727,8.161175,8.150133,8.134009,7.982998,4.829792
15,v113,2.127055,3.587775,4.047118,4.06952,4.077806,4.08111,4.083448,4.084519,4.083027,4.081863,4.080587,4.075066,4.067005,3.991499,2.41489
16,v121,4.254112,7.175552,8.094236,8.139039,8.155612,8.162221,8.166895,8.169038,8.166054,8.163727,8.161175,8.150133,8.134009,7.982998,4.829792
17,v122,2.127055,3.587775,4.047118,4.06952,4.077806,4.08111,4.083448,4.084519,4.083027,4.081863,4.080587,4.075066,4.067005,3.991499,2.41489
18,v123,2.127055,3.587775,4.047118,4.06952,4.077806,4.08111,4.083448,4.084519,4.083027,4.081863,4.080587,4.075066,4.067005,3.991499,2.41489
19,v124,2.127057,3.587776,4.047118,4.06952,4.077806,4.081111,4.083448,4.084519,4.083027,4.081863,4.080587,4.075067,4.067005,3.991499,2.414901
20,v131,2.127056,3.587776,4.047118,4.06952,4.077806,4.08111,4.083448,4.084519,4.083027,4.081863,4.080587,4.075066,4.067005,3.991499,2.414894
21,vlin,2.127055,3.587775,4.047118,4.06952,4.077806,4.08111,4.083448,4.084519,4.083027,4.081863,4.080587,4.075066,4.067005,3.991499,2.41489
22,v2out,4.254112,7.175552,8.094236,8.139039,8.155612,8.162221,8.166895,8.169038,8.166054,8.163727,8.161175,8.150133,8.134009,7.982998,4.829792
23,v51,2.37069,3.464773,2.969235,2.941024,2.947307,2.949825,2.951578,2.952603,2.951277,2.950417,2.949452,2.945169,2.939549,3.121801,2.659667
24,v52,2.370691,3.464773,2.969235,2.941024,2.947307,2.949826,2.951578,2.952603,2.951277,2.950417,2.949452,2.945168,2.939549,3.121801,2.65967
25,v55,1.185346,1.732387,1.484617,1.470512,1.473654,1.474913,1.475789,1.476302,1.475643,1.475208,1.474726,1.472719,1.469774,1.560895,1.329837
26,v56,1.185345,1.732387,1.484617,1.470512,1.473654,1.474913,1.475789,1.476302,1.475639,1.475208,1.474726,1.472582,1.469774,1.5609,1.329836
27,v57,1.185345,1.732387,1.484617,1.470512,1.473654,1.474913,1.475789,1.476302,1.475639,1.475208,1.474726,1.472582,1.469774,1.5609,1.329836
28,v58,0.06543335,0.06091822,0.06274453,0.0628588,0.06283326,0.06282308,0.06281592,0.06281177,0.06281715,0.06282063,0.06282455,0.06284198,0.06286481,0.06214627,0.06406525
29,v59,0.06543292,0.06091821,0.06274455,0.0628588,0.06283326,0.06282302,0.06281592,0.06281177,0.06281715,0.06282063,0.06282455,0.06284226,0.06286481,0.06214637,0.06406311
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,1.185345,1.732387,1.484617,1.470512,1.473654,1.474913,1.475789,1.476302,1.475639,1.475208,1.474726,1.472583,1.469774,1.5609,1.329835
32,vdhap_in,19.56527,17.45047,18.40537,18.45924,18.44724,18.44243,18.43908,18.43713,18.43965,18.4413,18.44314,18.4512,18.46205,18.1138,18.99863
33,vgap_in,19.56527,17.45047,18.40537,18.45924,18.44724,18.44243,18.43908,18.43713,18.43965,18.4413,18.44314,18.4512,18.46205,18.1138,18.99863
34,vpga_in,19.56527,17.45047,18.40537,18.45924,18.44724,18.44243,18.43908,18.43713,18.43965,18.4413,18.44314,18.4512,18.46205,18.1138,18.99863
35,vpga_use,0.01155053,0.02181175,0.01451338,0.01416866,0.01422576,0.01424871,0.01426464,0.01427438,0.01426193,0.01425413,0.01424536,0.01420629,0.01415608,0.01637109,0.0141309
36,Vbf1,112.3585,191.2607,217.9011,218.7876,218.8737,218.879,218.8704,218.9384,218.8703,218.8795,218.8826,218.8576,218.747,214.5522,127.7221
37,Vbf2,112.3585,191.2607,217.9011,218.7876,218.8737,218.879,218.8704,218.9384,218.8703,218.8795,218.8826,218.8577,218.747,214.552,127.7221
38,Vbf3,112.3585,191.2607,217.9011,218.7876,218.8737,218.879,218.8704,218.9384,218.8703,218.8795,218.8826,218.8577,218.747,214.552,127.7221
39,Vbf4,112.3585,191.2607,217.9011,218.7876,218.8737,218.879,218.8704,218.9384,218.8703,218.8795,218.8826,218.8577,218.747,214.552,127.7221
40,Vbf5,43.39979,73.19958,82.68671,83.19964,83.41097,83.49491,83.55817,83.58086,83.55101,83.51848,83.48379,83.33899,83.13698,81.51735,49.25348
41,Vbf6,68.95873,118.0611,135.2144,135.588,135.4627,135.3841,135.3124,135.3575,135.3193,135.361,135.3989,135.5187,135.6101,133.0347,78.46865
42,Vbf7,68.95888,118.0612,135.2144,135.588,135.4627,135.3841,135.3129,135.3575,135.3193,135.361,135.3989,135.5186,135.6101,133.036,78.46924
43,Vbf8,112.3585,191.2607,217.9011,218.7876,218.8737,218.879,218.8704,218.9384,218.8703,218.8795,218.8826,218.8577,218.747,214.552,127.7221
44,Vbf9,112.3585,191.2607,217.9011,218.7876,218.8737,218.7984,218.8704,218.9384,218.8679,218.8795,218.8826,218.8577,218.747,214.5522,127.7221
45,Vbf10,112.3587,191.2612,217.9011,218.7877,218.8737,218.6529,218.8704,218.9384,218.9109,218.8795,218.8826,218.8669,218.747,214.5483,127.7213
46,Vbf11,66.84905,113.5022,129.0076,129.6083,129.7359,129.7742,129.7976,129.8366,129.7946,129.7845,129.771,129.6981,129.564,127.0684,75.95516
47,Vqi,137.9174,236.1222,270.4288,271.176,270.9254,270.7682,270.6245,270.715,270.6387,270.722,270.7977,271.0375,271.2201,266.0694,156.9373
48,Vipc,13514.42,23069.89,26343.17,26480.0,26523.58,26548.25,26572.49,26811.46,26563.98,26553.54,26543.13,26507.52,26467.14,25924.0,15368.64
49,Vicp,13511.51,23064.38,26334.85,26468.75,26509.94,26533.48,26556.84,26795.88,26548.47,26538.49,26528.55,26494.75,26456.53,25916.76,15365.3
50,Vinc,55.33933,105.0028,158.553,214.6944,260.48,282.1022,299.142,297.852,296.5621,287.5323,278.5026,243.7228,202.5055,138.0929,63.73955
