,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,vc,7.804271,15.52106,25.99042,26.34365,26.3899,26.43166,26.49448,26.5484,26.52001,26.47316,26.3827,26.26413,22.48705,7.763802
1,vo,2.832195,5.632644,9.432007,9.560196,9.576981,9.592133,9.614932,9.634499,9.624197,9.607195,9.574369,9.531338,8.160623,2.817509
2,v2,19.85433,39.48345,66.11858,67.01786,67.13552,67.24172,67.40151,67.53867,67.46645,67.34729,67.1172,66.81557,57.2026,19.75139
3,v3,19.85433,39.48345,66.11858,67.01786,67.13552,67.24172,67.40151,67.53867,67.46645,67.34729,67.1172,66.81557,57.2026,19.75139
4,v5,3.589777,7.213248,12.88483,13.14549,13.16849,13.18914,13.21932,13.24689,13.23282,13.20966,13.16493,13.10304,10.66722,3.570968
5,v6,3.589777,7.213248,12.88483,13.14549,13.16849,13.18915,13.21932,13.24689,13.23282,13.20966,13.16493,13.10304,10.66722,3.570968
6,v7,3.545489,7.051236,11.80748,11.96795,11.98896,12.00793,12.03647,12.06097,12.04807,12.02679,11.98569,11.93182,10.21589,3.527104
7,v8,3.545489,7.051236,11.80748,11.96795,11.98896,12.00793,12.03647,12.06097,12.04807,12.02679,11.98569,11.93182,10.21589,3.527104
8,v9,3.545489,7.051236,11.80748,11.96795,11.98896,12.00775,12.03647,12.06097,12.04807,12.02679,11.98569,11.93182,10.21589,3.527104
9,v10,3.545489,7.051236,11.80748,11.96795,11.98896,12.00793,12.03647,12.06097,12.04807,12.02679,11.98569,11.93182,10.21589,3.527104
10,v13,10.63647,21.15371,35.42243,35.90385,35.96689,36.02379,36.10941,36.1829,36.14421,36.08036,35.95707,35.79547,30.64767,10.58131
11,v23,0.05946722,0.1770918,1.089455,1.189543,1.191561,1.193287,1.194977,1.198086,1.196894,1.194978,1.191267,1.183158,0.4654423,0.05904213
12,v24,0.05946722,0.1770918,1.089455,1.189543,1.191561,1.193287,1.194977,1.198086,1.196894,1.194978,1.191267,1.183158,0.4654423,0.05904213
13,v25,0.0151795,0.01507973,0.01210169,0.01199784,0.01203529,0.0120693,0.01212427,0.01216504,0.01214265,0.01210399,0.0120295,0.01194602,0.0141158,0.0151782
