,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
0,vc,7.811019,15.51731,25.97841,26.3436,26.38937,26.43144,26.49723,26.54881,26.51598,26.47235,26.38374,26.25825,22.36289,7.795214
1,vo,2.834644,5.631281,9.427649,9.560176,9.576786,9.592055,9.615932,9.634649,9.622734,9.606901,9.574746,9.529203,8.115563,2.828908
2,v2,19.8715,39.4739,66.088,67.01772,67.13414,67.24117,67.40852,67.53971,67.4562,67.34523,67.11984,66.8006,56.88673,19.83129
3,v3,19.8715,39.4739,66.08801,67.01772,67.13414,67.24117,67.40852,67.53971,67.4562,67.34523,67.11984,66.8006,56.88672,19.83129
4,v5,3.592923,7.211453,12.87476,13.14519,13.16794,13.18874,13.22128,13.2468,13.23055,13.20897,13.16515,13.09931,10.60099,3.585572
5,v6,3.592923,7.211453,12.87476,13.14519,13.16794,13.18874,13.22128,13.2468,13.23055,13.20897,13.16515,13.09931,10.60099,3.585572
6,v7,3.548554,7.04953,11.80202,11.96792,11.98872,12.00783,12.03772,12.06115,12.04624,12.02642,11.98616,11.92915,10.15948,3.541374
7,v8,3.548554,7.04953,11.80202,11.96792,11.98872,12.00783,12.03772,12.06115,12.04624,12.02642,11.98616,11.92915,10.15949,3.541374
8,v9,3.548554,7.04953,11.80202,11.96795,11.98872,12.00783,12.03772,12.06115,12.04624,12.02642,11.98616,11.92915,10.15949,3.541374
9,v10,3.548554,7.04953,11.80202,11.96792,11.98872,12.00783,12.03772,12.06115,12.04624,12.02642,11.98616,11.92915,10.15949,3.541374
10,v13,10.64566,21.14859,35.40605,35.90377,35.96615,36.0235,36.11317,36.18346,36.13871,36.07925,35.95849,35.78745,30.47846,10.62412
11,v23,0.05954872,0.1770037,1.084851,1.18926,1.191253,1.192981,1.195684,1.197812,1.196448,1.194658,1.191014,1.182097,0.4556463,0.05937734
12,v24,0.05954872,0.1770037,1.084851,1.18926,1.191253,1.192981,1.195684,1.197812,1.196448,1.194658,1.191014,1.182097,0.4556483,0.05937734
13,v25,0.01517981,0.01507992,0.01211185,0.0119989,0.01203568,0.01207028,0.01212494,0.01216746,0.01214006,0.01210381,0.0120316,0.0119431,0.01415141,0.0151793
14,v112,2.834644,5.631281,9.427649,9.560176,9.576786,9.592055,9.615932,9.634649,9.622734,9.606901,9.574746,9.529203,8.115566,2.828908
15,v113,1.417322,2.815641,4.713826,4.780088,4.788393,4.796028,4.807966,4.817324,4.811367,4.803451,4.787373,4.764602,4.057779,1.414454
16,v121,2.834644,5.631281,9.427649,9.560176,9.576786,9.592055,9.615932,9.634649,9.622734,9.606901,9.574746,9.529203,8.115563,2.828908
17,v122,1.417322,2.815641,4.713826,4.780088,4.788393,4.796028,4.807966,4.817324,4.811367,4.803451,4.787373,4.764602,4.05778,1.414454
18,v123,1.417322,2.815641,4.713826,4.780088,4.788393,4.796028,4.807966,4.817324,4.811367,4.803451,4.787373,4.764602,4.05778,1.414454
19,v124,1.417322,2.815641,4.713823,4.780088,4.788393,4.796028,4.807966,4.817324,4.811367,4.803451,4.787373,4.764602,4.057784,1.414454
20,v131,1.417322,2.815641,4.713825,4.780088,4.788393,4.796028,4.807966,4.817324,4.811367,4.803451,4.787373,4.764602,4.057781,1.414454
21,vlin,1.417322,2.815641,4.713826,4.780088,4.788393,4.796028,4.807966,4.817324,4.811367,4.803451,4.787373,4.764602,4.05778,1.414454
22,v2out,2.834644,5.631281,9.427649,9.560176,9.576786,9.592055,9.615932,9.634649,9.622734,9.606901,9.574746,9.529203,8.115563,2.828908
23,v51,1.019995,1.9512,2.466221,2.411789,2.416061,2.420093,2.426397,2.431329,2.428198,2.424016,2.415531,2.407267,2.603144,1.018013
24,v52,1.019995,1.9512,2.466221,2.411789,2.416061,2.420093,2.426397,2.431329,2.428198,2.424016,2.415531,2.407267,2.603143,1.018013
25,v55,0.5099975,0.9756005,1.233109,1.205894,1.208031,1.210047,1.213198,1.215664,1.214099,1.212009,1.207766,1.203633,1.301883,0.5090067
26,v56,0.5099975,0.9755999,1.233111,1.205894,1.208031,1.210047,1.213198,1.215665,1.214099,1.212008,1.207766,1.203633,1.301571,0.5090065
27,v57,0.5099975,0.9755999,1.233111,1.205894,1.208031,1.210047,1.213198,1.215665,1.214099,1.212008,1.207766,1.203633,1.301571,0.5090065
28,v58,0.07422463,0.06769185,0.06496512,0.06522956,0.06520859,0.06518881,0.06515796,0.06513387,0.06514916,0.06516962,0.06521118,0.06525181,0.06432099,0.07424162
29,v59,0.07422461,0.06769184,0.06496452,0.06522957,0.06520859,0.06518882,0.06515797,0.06513388,0.06514917,0.06516961,0.06521119,0.06525181,0.06432104,0.07424138
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.5099975,0.9755999,1.233111,1.205894,1.208031,1.210047,1.213198,1.215665,1.214099,1.212008,1.207766,1.203633,1.301571,0.5090065
32,vdhap_in,22.97223,20.4401,19.37577,19.48345,19.47497,19.46697,19.45448,19.44471,19.45091,19.45919,19.47602,19.49243,19.10788,22.97927
33,vgap_in,22.97223,20.4401,19.37577,19.48345,19.47497,19.46697,19.45448,19.44471,19.45091,19.45919,19.47602,19.49243,19.10788,22.97927
34,vpga_in,22.97223,20.4401,19.37577,19.48345,19.47497,19.46697,19.45448,19.44471,19.45091,19.45919,19.47602,19.49243,19.10788,22.97927
35,vpga_use,0.002504375,0.007641978,0.0102945,0.009735525,0.009767105,0.009797128,0.009844156,0.009881015,0.009857623,0.009826387,0.009763176,0.009707843,0.01238842,0.002496047
36,Vbf1,55.65269,111.424,188.7995,191.2359,191.4079,191.5505,191.7354,191.8621,191.7872,191.6689,191.393,190.8307,161.3947,55.52333
37,Vbf2,55.65269,111.424,188.7995,191.2359,191.4079,191.5505,191.7354,191.8621,191.7872,191.6689,191.393,190.8307,161.3947,55.52333
38,Vbf3,55.65269,111.424,188.7995,191.2359,191.4079,191.5505,191.7354,191.8621,191.7872,191.6689,191.393,190.8307,161.3947,55.52333
39,Vbf4,55.65269,111.424,188.7995,191.2359,191.4079,191.5505,191.7354,191.8621,191.7872,191.6689,191.393,190.8307,161.3947,55.52333
40,Vbf5,21.3935,42.4099,71.03929,72.09572,72.24315,72.37722,72.58753,72.7567,72.6532,72.51023,72.22484,71.83661,61.12174,21.33929
41,Vbf6,34.25919,69.0141,117.7607,119.1401,119.1647,119.1733,119.1479,119.1054,119.134,119.1586,119.1682,118.9941,100.2729,34.18404
42,Vbf7,34.25919,69.0141,117.7624,119.1402,119.1647,119.1743,119.1479,119.1054,119.134,119.1586,119.1682,118.9941,100.2729,34.18404
43,Vbf8,55.65269,111.424,188.7995,191.2359,191.4079,191.5505,191.7354,191.8621,191.7872,191.6689,191.393,190.8307,161.3947,55.52333
44,Vbf9,55.65269,111.424,188.7995,191.2372,191.4079,191.5504,191.7354,191.8621,191.7872,191.6689,191.393,190.8307,161.3947,55.52333
45,Vbf10,55.65269,111.4238,188.7992,191.2369,191.4079,191.5503,191.7354,191.862,191.7872,191.6689,191.393,190.831,161.3936,55.52333
46,Vbf11,33.06703,66.02313,111.5187,113.0178,113.1549,113.2737,113.4433,113.5703,113.4937,113.3816,113.1407,112.7327,95.50058,32.98825
47,Vqi,68.51838,138.0282,235.5207,238.2803,238.3294,238.3465,238.2958,238.2109,238.268,238.3173,238.3364,237.9882,200.5459,68.36808
48,Vipc,6685.822,13401.93,22780.13,23086.46,23114.69,23138.89,23175.54,23208.81,23188.63,23162.96,23109.86,23124.44,19443.59,6670.282
49,Vicp,6684.405,13398.96,22773.59,23076.85,23103.98,23127.09,23161.8,23193.43,23174.31,23149.99,23099.32,23116.34,19438.97,6668.869
50,Vinc,26.97886,56.4783,124.6255,183.3358,204.2976,225.2595,262.6004,294.1536,273.616,247.8337,201.0726,154.3116,88.03142,26.90104
51,Vinp,29.81874,62.42338,137.744,202.6343,225.8027,248.971,290.2426,325.1171,302.4177,273.9215,222.2382,170.5549,97.29789,29.73273
52,Vdp,24.18974,51.0142,116.8521,178.4807,200.5377,222.5982,261.9029,295.1164,273.4969,246.358,197.1445,147.8933,80.42621,24.11761
53,Vdc,24.18461,51.00291,116.8186,178.4065,200.4448,222.4847,261.7476,294.9208,273.3281,246.22,197.0546,147.8415,80.40709,24.1125
54,Vfp,4.212068,8.443214,14.35148,14.54447,14.56225,14.5775,14.60059,14.62155,14.60883,14.59266,14.55921,14.5684,12.24946,4.202277
55,Vfc,4.211175,8.441346,14.34736,14.53841,14.55551,14.57007,14.59193,14.61186,14.59982,14.58449,14.55257,14.5633,12.24655,4.201387
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.275268,1.349974,1.715216,1.765347,1.765279,1.765156,1.764965,1.76482,1.764907,1.765035,1.76529,1.763475,1.447532,1.275063
58,VgPQH2,279.0845,387.1364,307.3384,631.5491,475.6758,508.8712,1005.316,854.4849,562.5828,432.6515,1015.096,136.3786,336.6266,145.1432
59,Vbf12,1.311356e-09,-3.22997e-09,-1.22301e-06,4.980939e-08,-1.184799e-08,-9.334704e-08,2.044213e-08,1.709117e-07,-4.52062e-10,-8.085397e-10,-8.821912e-08,-2.251197e-07,1.151728e-07,1.44759e-08
60,Vbf13,3.527758e-10,-8.883505e-10,-3.571444e-07,1.623667e-08,-4.270257e-09,-3.624254e-08,1.180283e-08,7.711605e-08,5.014817e-11,-3.800855e-10,-3.186426e-08,-7.128453e-08,3.280256e-08,3.905033e-09
61,Vbf14,-1.734878e-10,2.496543e-10,1.228089e-07,-3.876906e-09,1.122606e-09,9.546144e-09,-3.750315e-09,-1.294976e-08,-1.291801e-10,1.379716e-10,8.930381e-09,2.404865e-08,-1.37857e-08,-1.649542e-09
62,Vbf15,55.65269,111.424,188.7995,191.2359,191.4079,191.5505,191.7354,191.8621,191.7872,191.6689,191.393,190.8307,161.3947,55.52333
63,Vbf16,55.65269,111.424,188.7995,191.2359,191.4079,191.5505,191.7354,191.8621,191.7872,191.6689,191.393,190.8307,161.3947,55.52333
64,vbfn2,21.3935,42.4099,71.03926,72.09572,72.24315,72.37722,72.58753,72.7567,72.6532,72.51023,72.22484,71.83661,61.12174,21.33929
65,VsNADPH,0.407368,0.5270201,0.734025,0.617912,0.6407997,0.6254254,0.5568003,0.5568623,0.5985848,0.6385164,0.5768623,0.9986741,0.6522626,0.4621999
66,vA_d,10.13145,23.20895,74.44853,139.952,165.5411,189.7357,229.5785,267.0717,245.7566,217.1349,158.6309,112.3391,41.35077,10.49128
67,vA_f,0.3528301,0.7682495,1.828716,2.280949,2.404188,2.485079,2.559713,2.646415,2.625417,2.572335,2.342993,2.213217,1.259601,0.3656024
68,vA_U,2800.239,6097.218,14513.62,18102.77,19080.86,19722.85,20315.18,21003.29,20836.65,20415.36,18595.18,17565.22,9996.833,2901.606
69,vU_A,2759.678,6014.335,14354.09,17898.12,18862.26,19488.87,20050.46,20716.45,20567.33,20166.15,18375.72,17387.8,9872.882,2861.565
