,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
0,vc,13.9654,24.1441,26.27951,26.4348,26.51873,26.51832,26.51791,26.51052,26.49654,26.49225,26.48902,26.44722,26.39445,26.22125,16.09813
1,vo,5.068088,8.761972,9.53692,9.593276,9.623732,9.623586,9.623436,9.620754,9.615682,9.614123,9.612949,9.59778,9.578631,9.515776,5.842064
2,v2,35.52646,61.41858,66.8547,67.24972,67.46319,67.46216,67.46112,67.44232,67.40677,67.39585,67.38762,67.28129,67.14708,66.70643,40.95127
3,v3,35.52646,61.41861,66.8547,67.24973,67.46319,67.46216,67.46112,67.44232,67.40677,67.39585,67.38762,67.28129,67.14708,66.70643,40.95127
4,v5,6.474794,11.59799,13.11199,13.19069,13.2322,13.23094,13.23181,13.22814,13.22123,13.2191,13.2175,13.19683,13.17074,13.07493,7.488796
5,v6,6.474794,11.59798,13.11199,13.19069,13.2322,13.23094,13.23181,13.22814,13.22123,13.2191,13.2175,13.19683,13.17074,13.07493,7.488796
6,v7,6.344496,10.9687,11.93881,12.00936,12.04749,12.0473,12.04712,12.04376,12.03741,12.03546,12.03399,12.015,11.99103,11.91234,7.313398
7,v8,6.344496,10.9687,11.93881,12.00936,12.04749,12.0473,12.04712,12.04376,12.03741,12.03546,12.03399,12.015,11.99103,11.91234,7.313398
8,v9,6.344496,10.9687,11.93881,12.00936,12.04749,12.0473,12.04712,12.04376,12.03741,12.03546,12.03399,12.015,11.99103,11.91234,7.313398
9,v10,6.344496,10.9687,11.93881,12.00936,12.04749,12.0473,12.04712,12.04376,12.03741,12.03546,12.03399,12.015,11.99103,11.91234,7.313398
10,v13,19.03349,32.90609,35.81643,36.02808,36.14246,36.14191,36.14135,36.13128,36.11223,36.10637,36.10197,36.045,35.97308,35.73703,21.94019
11,v23,0.1454501,0.6427489,1.185135,1.193405,1.196857,1.195785,1.196839,1.196513,1.19594,1.195759,1.19563,1.193916,1.19175,1.174526,0.1904423
12,v24,0.1454501,0.6427492,1.185135,1.193405,1.196857,1.195785,1.196839,1.196513,1.19594,1.195759,1.19563,1.193916,1.19175,1.174526,0.1904423
13,v25,0.01515206,0.01346676,0.0119525,0.01207218,0.01214144,0.01214537,0.01214056,0.01213446,0.01212303,0.01211887,0.01211714,0.01208238,0.01203877,0.01194076,0.01504461
14,v112,5.068088,8.761972,9.53692,9.593276,9.623732,9.623586,9.623436,9.620754,9.615682,9.614123,9.612949,9.59778,9.578631,9.515776,5.842064
15,v113,2.534044,4.380982,4.76846,4.796638,4.811866,4.811793,4.811718,4.810377,4.807841,4.807061,4.806475,4.79889,4.789316,4.757888,2.921032
16,v121,5.068088,8.761971,9.53692,9.593276,9.623732,9.623586,9.623436,9.620754,9.615682,9.614123,9.612949,9.59778,9.578631,9.515776,5.842064
17,v122,2.534044,4.380982,4.76846,4.796638,4.811866,4.811793,4.811718,4.810377,4.807841,4.807061,4.806475,4.79889,4.789316,4.757888,2.921032
18,v123,2.534044,4.380982,4.76846,4.796638,4.811866,4.811793,4.811718,4.810377,4.807841,4.807061,4.806475,4.79889,4.789316,4.757888,2.921032
19,v124,2.534044,4.380989,4.76846,4.796638,4.811866,4.811793,4.811718,4.810377,4.807841,4.807061,4.806475,4.79889,4.789316,4.757888,2.921032
20,v131,2.534044,4.380985,4.76846,4.796638,4.811866,4.811793,4.811718,4.810377,4.807841,4.807061,4.806475,4.79889,4.789316,4.757888,2.921032
21,vlin,2.534044,4.380982,4.76846,4.796638,4.811866,4.811793,4.811718,4.810377,4.807841,4.807061,4.806475,4.79889,4.789316,4.757888,2.921032
22,v2out,5.068088,8.761971,9.53692,9.593276,9.623732,9.623586,9.623436,9.620754,9.615682,9.614123,9.612949,9.59778,9.578631,9.515776,5.842064
23,v51,1.771693,2.658259,2.407141,2.42013,2.428167,2.429183,2.428072,2.427387,2.426046,2.425639,2.425326,2.421318,2.416261,2.409773,2.016741
24,v52,1.771693,2.658261,2.407141,2.42013,2.428167,2.429183,2.428072,2.427387,2.426046,2.425639,2.425326,2.421318,2.416261,2.409773,2.016741
25,v55,0.8858465,1.32903,1.20357,1.210065,1.214083,1.214591,1.214036,1.213694,1.213023,1.212817,1.212663,1.210659,1.20813,1.204887,1.00837
26,v56,0.8858466,1.329131,1.20357,1.210065,1.214083,1.214591,1.214036,1.213694,1.213023,1.21282,1.212663,1.210659,1.20813,1.204887,1.00837
27,v57,0.8858466,1.329131,1.20357,1.210065,1.214083,1.214591,1.214036,1.213694,1.213023,1.21282,1.212663,1.210659,1.20813,1.204887,1.00837
28,v58,0.06877041,0.06406934,0.06525243,0.06518864,0.06514931,0.06514435,0.06514978,0.06515312,0.06515968,0.06516167,0.06516322,0.06518282,0.06520761,0.06523948,0.06731572
29,v59,0.06877048,0.06406987,0.06525243,0.06518864,0.06514932,0.06514435,0.06514978,0.06515313,0.06515968,0.06516167,0.0651632,0.06518282,0.06520761,0.06523947,0.06731571
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.8858466,1.329132,1.20357,1.210065,1.214083,1.214591,1.214036,1.213694,1.213023,1.21282,1.212663,1.210659,1.20813,1.204887,1.00837
