,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
0,vc,7.839482,13.29141,16.77137,19.89316,26.08951,26.33265,26.34638,26.36329,26.33977,26.16,22.65355,14.30353,9.562858
1,vo,2.844973,4.823495,6.086384,7.21929,9.467969,9.556203,9.561186,9.567324,9.558789,9.493549,8.221048,5.190796,3.470392
2,v2,19.94391,33.81208,42.66371,50.60429,66.37097,66.98988,67.0248,67.06782,67.008,66.55048,57.62619,36.38652,24.32781
3,v3,19.94391,33.81208,42.66371,50.60429,66.37097,66.98988,67.0248,67.06782,67.008,66.55048,57.62615,36.38652,24.32781
4,v5,3.606159,6.156499,7.811615,9.335892,12.969,13.13996,13.14687,13.15528,13.14355,13.02779,10.75657,6.634813,4.408645
5,v6,3.606159,6.156499,7.811615,9.335892,12.969,13.13996,13.14687,13.15528,13.14355,13.02779,10.75657,6.634813,4.408645
6,v7,3.561485,6.038301,7.619252,9.037482,11.85249,11.96295,11.96919,11.97687,11.96619,11.88452,10.29153,6.498108,4.344417
7,v8,3.561485,6.038302,7.619251,9.037482,11.85249,11.96295,11.96919,11.97687,11.96619,11.88452,10.29153,6.498108,4.344417
8,v9,3.561485,6.038302,7.619251,9.037482,11.85249,11.96295,11.96919,11.97687,11.96619,11.88452,10.29153,6.498096,4.344417
9,v10,3.561485,6.038302,7.619251,9.037482,11.85249,11.96295,11.96919,11.97687,11.96619,11.88452,10.29153,6.498107,4.344417
10,v13,10.68446,18.1149,22.85775,27.11245,35.55748,35.88885,35.90757,35.93061,35.89856,35.65355,30.8746,19.49432,13.03325
11,v23,0.05985435,0.1333724,0.2073611,0.3130652,1.128521,1.189004,1.189683,1.190423,1.189353,1.155242,0.4791076,0.1518455,0.07944205
12,v24,0.05985435,0.1333725,0.2073611,0.3130652,1.128521,1.189004,1.189683,1.190423,1.189353,1.155242,0.4791076,0.1518455,0.07944205
13,v25,0.01518071,0.0151742,0.01499745,0.01465516,0.01201481,0.01198947,0.01199949,0.01201283,0.01199449,0.01196406,0.01406457,0.01513882,0.01521372
14,v112,2.844973,4.823495,6.086384,7.21929,9.467969,9.556203,9.561186,9.567324,9.558789,9.493549,8.221048,5.190796,3.470392
15,v113,1.422487,2.411748,3.043192,3.609645,4.733984,4.778102,4.780593,4.783662,4.779394,4.746774,4.110525,2.595398,1.735196
16,v121,2.844973,4.823495,6.086384,7.21929,9.467969,9.556203,9.561186,9.567324,9.558789,9.493549,8.221048,5.190796,3.470392
17,v122,1.422487,2.411748,3.043192,3.609645,4.733984,4.778102,4.780593,4.783662,4.779394,4.746774,4.110525,2.595398,1.735196
18,v123,1.422487,2.411748,3.043192,3.609645,4.733984,4.778102,4.780593,4.783662,4.779394,4.746774,4.110525,2.595398,1.735196
19,v124,1.422487,2.411747,3.043192,3.609645,4.733984,4.778102,4.780593,4.783662,4.779394,4.746774,4.110522,2.595398,1.735196
20,v131,1.422487,2.411747,3.043192,3.609645,4.733984,4.778102,4.780593,4.783662,4.779394,4.746774,4.110524,2.595398,1.735196
21,vlin,1.422487,2.411748,3.043192,3.609645,4.733984,4.778102,4.780593,4.783662,4.779394,4.746774,4.110525,2.595398,1.735196
22,v2out,2.844973,4.823495,6.086384,7.21929,9.467969,9.556203,9.561186,9.567324,9.558789,9.493549,8.221048,5.190796,3.470392
23,v51,1.023566,1.692092,2.09136,2.410028,2.437743,2.410547,2.411747,2.413321,2.411173,2.420671,2.619226,1.811287,1.238635
24,v52,1.023566,1.692092,2.09136,2.410028,2.437743,2.410547,2.411747,2.413321,2.411173,2.420671,2.619225,1.811287,1.238635
25,v55,0.5117835,0.8460442,1.045679,1.205014,1.218871,1.205274,1.205873,1.206661,1.205586,1.210335,1.309612,0.9056437,0.6193173
26,v56,0.5117829,0.8460458,1.04568,1.205014,1.218871,1.205274,1.205873,1.206661,1.205586,1.210335,1.309613,0.9056436,0.6193173
27,v57,0.5117829,0.8460458,1.04568,1.205014,1.218871,1.205274,1.205873,1.206661,1.205586,1.210335,1.309613,0.9056436,0.6193173
28,v58,0.07419438,0.06927209,0.06689843,0.06523822,0.06510261,0.06523567,0.06522977,0.06522207,0.06523259,0.06518597,0.06424679,0.06852625,0.07245834
29,v59,0.07419438,0.06927303,0.0668984,0.06523822,0.06510261,0.06523567,0.06522977,0.06522203,0.06523259,0.06518599,0.06424692,0.06852623,0.07245832
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.5117829,0.8460461,1.04568,1.205014,1.218871,1.205274,1.205873,1.206661,1.205586,1.210335,1.309613,0.9056436,0.6193173
32,vdhap_in,22.95955,21.03488,20.13819,19.48694,19.43202,19.48591,19.48353,19.4804,19.48467,19.46582,19.07698,20.75447,22.25434
33,vgap_in,22.95955,21.03488,20.13819,19.48694,19.43202,19.48591,19.48353,19.4804,19.48467,19.46582,19.07698,20.75447,22.25434
34,vpga_in,22.95955,21.03488,20.13819,19.48694,19.43202,19.48591,19.48353,19.4804,19.48467,19.46582,19.07698,20.75447,22.25434
35,vpga_use,0.002519415,0.005978058,0.008610855,0.0109603,0.01001208,0.009725999,0.009734718,0.009746345,0.009730552,0.009844633,0.01249185,0.006722282,0.003494837
36,Vbf1,55.84114,95.27628,120.4834,143.1915,189.4446,190.9529,191.0011,191.0832,190.9855,189.9726,163.4193,102.589,68.28738
37,Vbf2,55.84114,95.27628,120.4834,143.1915,189.4446,190.9529,191.0011,191.0832,190.9855,189.9726,163.4194,102.589,68.28738
38,Vbf3,55.84114,95.27628,120.4834,143.1915,189.4446,190.9529,191.0011,191.0832,190.9855,189.9726,163.4194,102.589,68.28738
39,Vbf4,55.84114,95.27628,120.4834,143.1915,189.4446,190.9529,191.0011,191.0832,190.9855,189.9726,163.4194,102.589,68.28738
40,Vbf5,21.46291,36.33403,45.81571,54.33529,71.27997,71.99188,72.0318,72.08685,72.014,71.48146,61.85977,39.08452,26.15381
41,Vbf6,34.37824,58.94225,74.66771,88.85621,118.1646,118.961,118.9693,118.9964,118.9715,118.4912,101.5529,63.50448,42.13357
42,Vbf7,34.37824,58.94225,74.66771,88.85621,118.1646,118.961,118.9693,118.9964,118.9715,118.4913,101.5556,63.50448,42.13357
43,Vbf8,55.84114,95.27628,120.4834,143.1915,189.4446,190.9529,191.0011,191.0832,190.9855,189.9726,163.4194,102.589,68.28738
44,Vbf9,55.84115,95.27626,120.4834,143.1915,189.4446,190.9529,191.0011,191.0832,190.9855,189.9726,163.4193,102.589,68.28738
45,Vbf10,55.84113,95.2766,120.4834,143.1915,189.4446,190.9529,191.0012,191.0832,190.9855,189.9726,163.4194,102.589,68.28738
46,Vbf11,33.1777,56.48511,71.37301,84.77544,111.899,112.8518,112.8896,112.9485,112.8753,112.212,96.68742,60.80409,40.5327
47,Vqi,68.75647,117.8845,149.3354,177.7124,236.3293,237.922,237.9386,237.9927,237.9429,236.9823,203.1141,127.009,84.26714
48,Vipc,6708.479,11455.92,14495.02,17238.54,22855.35,23049.5,23060.39,23074.79,23056.57,22920.74,19698.59,12336.61,8205.658
49,Vicp,6707.058,11453.41,14491.78,17234.59,22848.55,23040.13,23050.69,23064.78,23047.05,22913.63,19693.91,12333.91,8203.906
50,Vinc,27.0737,47.84724,61.6395,75.26149,129.5792,178.7886,184.9185,191.0484,181.513,135.3685,89.22403,51.59328,33.37387
51,Vinp,29.92357,52.88379,68.12787,83.18375,143.2191,197.6085,204.3836,211.1587,200.6196,149.6178,98.61603,57.02415,36.88691
52,Vdp,24.27531,43.1538,55.75907,68.37142,122.0205,173.7156,180.1639,186.6101,176.5801,128.0752,81.52108,46.54262,29.96458
53,Vdc,24.27017,43.14434,55.74661,68.35575,121.9842,173.645,180.0882,186.5291,176.5072,128.0355,81.5017,46.53239,29.95818
54,Vfp,4.226342,7.217231,9.131863,10.86028,14.39887,14.52119,14.52804,14.53712,14.52564,14.44006,12.41011,7.772067,5.169565
55,Vfc,4.225446,7.215648,9.129823,10.85779,14.39459,14.51528,14.52194,14.53081,14.51964,14.43559,12.40716,7.77036,5.168461
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.275633,1.330295,1.361782,1.398651,1.737113,1.765489,1.765517,1.765494,1.765502,1.750575,1.455895,1.339162,1.295371
58,VgPQH2,2021.253,104.1145,401.163,453.154,620.5531,1158.569,390.7043,290.9382,463.3016,649.887,148.2881,334.936,284.4228
