,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
0,vc,8.900275,14.93827,18.26052,21.26915,32.52084,33.23576,33.24984,33.25206,33.22393,32.67034,27.00333,17.2081,11.52097
1,vo,2.176698,3.653381,4.465888,5.201695,7.953465,8.12831,8.131755,8.132298,8.125417,7.990029,6.604074,4.208502,2.817629
2,v2,21.06178,35.3476,43.20738,50.32502,76.95506,78.64976,78.68316,78.68842,78.62182,77.30947,63.89146,40.71759,27.26253
3,v3,21.06178,35.3476,43.20738,50.32507,76.95506,78.64976,78.68316,78.68842,78.62182,77.30947,63.89146,40.71759,27.26253
4,v5,3.741809,6.321626,7.761802,9.089742,15.0849,15.69855,15.71168,15.71283,15.69713,15.21145,11.76396,7.303268,4.857282
5,v6,3.741809,6.321626,7.761802,9.089742,15.0849,15.69855,15.71168,15.71283,15.69713,15.21145,11.76396,7.303268,4.857282
6,v7,3.692324,6.197218,7.575469,8.823616,13.49143,13.78802,13.79387,13.79479,13.78312,13.55346,11.20247,7.138866,4.779534
7,v8,3.692324,6.197217,7.575469,8.823616,13.49143,13.78802,13.79387,13.79479,13.78311,13.55346,11.20247,7.138866,4.779534
8,v9,3.692324,6.197217,7.575469,8.823616,13.49143,13.78802,13.79387,13.79479,13.78314,13.55346,11.20247,7.138866,4.779534
9,v10,3.692324,6.197217,7.575469,8.823616,13.49143,13.78802,13.79387,13.79479,13.78311,13.55346,11.20247,7.138866,4.779534
10,v13,11.07697,18.59165,22.72641,26.47085,40.4743,41.36407,41.3816,41.38436,41.34934,40.66037,33.6074,21.4166,14.3386
11,v23,0.06378732,0.1387976,0.2006914,0.2804107,1.607426,1.924695,1.931995,1.93222,1.928164,1.671969,0.5755434,0.1787757,0.0921156
12,v24,0.06378732,0.1387975,0.2006914,0.2804106,1.607426,1.924695,1.931995,1.93222,1.928164,1.671969,0.5755434,0.1787757,0.09211561
13,v25,0.01430237,0.01439008,0.01435761,0.01428564,0.01395759,0.01416981,0.01417551,0.01417764,0.01415249,0.01398078,0.01405098,0.01437337,0.01436775
14,v112,2.176698,3.653381,4.465888,5.201695,7.953465,8.12831,8.131755,8.132298,8.125417,7.990029,6.604074,4.208502,2.817629
15,v113,1.088349,1.82669,2.232944,2.600847,3.976733,4.064155,4.065877,4.066149,4.062709,3.995015,3.302037,2.104251,1.408815
16,v121,2.176698,3.653381,4.465888,5.201695,7.953465,8.12831,8.131755,8.132298,8.125417,7.990029,6.604074,4.208502,2.817629
17,v122,1.088349,1.82669,2.232944,2.600847,3.976733,4.064155,4.065877,4.066149,4.062709,3.995015,3.302037,2.104251,1.408815
18,v123,1.088349,1.82669,2.232944,2.600847,3.976733,4.064155,4.065877,4.066149,4.062709,3.995015,3.302037,2.104251,1.408815
19,v124,1.088349,1.826691,2.232944,2.600848,3.976733,4.064155,4.065877,4.066149,4.062708,3.995015,3.302037,2.104251,1.408814
20,v131,1.088349,1.826691,2.232944,2.600847,3.976733,4.064155,4.065877,4.066149,4.062709,3.995015,3.302037,2.104251,1.408815
21,vlin,1.088349,1.82669,2.232944,2.600847,3.976733,4.064155,4.065877,4.066149,4.062709,3.995015,3.302037,2.104251,1.408815
22,v2out,2.176698,3.653381,4.465888,5.201695,7.953465,8.12831,8.131755,8.132298,8.125417,7.990029,6.604074,4.208502,2.817629
23,v51,1.250596,2.056347,2.478685,2.837343,3.155479,2.944302,2.939099,2.9392,2.939113,3.113101,3.378072,2.34723,1.60468
24,v52,1.250596,2.056347,2.478685,2.837342,3.155479,2.944302,2.939099,2.9392,2.939113,3.113101,3.378072,2.34723,1.60468
25,v55,0.625298,1.028176,1.239342,1.418672,1.577742,1.472151,1.469549,1.4696,1.469557,1.55655,1.689037,1.173615,0.8023562
26,v56,0.625298,1.028173,1.239342,1.418671,1.577739,1.472151,1.469549,1.4696,1.469557,1.55655,1.689036,1.173615,0.8023401
27,v57,0.625298,1.028173,1.239342,1.418671,1.577739,1.472151,1.469549,1.4696,1.469557,1.55655,1.689036,1.173615,0.8023401
28,v58,0.07236643,0.06709284,0.0649047,0.0632887,0.06201868,0.06284547,0.06286664,0.06286623,0.06286658,0.06217951,0.06121389,0.0655505,0.06984262
29,v59,0.07236643,0.06709279,0.0649047,0.06328881,0.06201873,0.06284547,0.06286665,0.06286623,0.06286659,0.0621796,0.06121388,0.0655505,0.06984269
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.625298,1.028173,1.239342,1.418671,1.577739,1.472151,1.469549,1.4696,1.469557,1.556551,1.689036,1.173615,0.8023401
32,vdhap_in,22.21807,20.21254,19.35126,18.65739,18.04927,18.45298,18.46292,18.46272,18.46289,18.13044,17.6198,19.61224,21.24918
33,vgap_in,22.21807,20.21254,19.35126,18.65739,18.04927,18.45298,18.46292,18.46272,18.46289,18.13044,17.6198,19.61224,21.24918
34,vpga_in,22.21807,20.21254,19.35126,18.65739,18.04927,18.45298,18.46292,18.46272,18.46289,18.13044,17.6198,19.61224,21.24918
35,vpga_use,0.003813327,0.009011631,0.01248764,0.01582952,0.01680612,0.01421239,0.01415276,0.01415348,0.01415747,0.0162605,0.02130149,0.01135132,0.005862067
36,Vbf1,57.05252,96.34729,118.0319,137.7304,213.665,219.7629,218.7229,218.7284,218.6377,214.7192,175.5334,111.1471,74.09344
37,Vbf2,57.05252,96.34729,118.0319,137.7304,213.665,219.7629,218.7229,218.7284,218.6377,214.7192,175.5334,111.1471,74.09344
38,Vbf3,57.05252,96.34729,118.0319,137.7304,213.665,219.7629,218.7229,218.7284,218.6377,214.7192,175.5334,111.1471,74.09344
39,Vbf4,57.05252,96.34729,118.0319,137.7304,213.665,219.7629,218.7229,218.7284,218.6377,214.7192,175.5334,111.1471,74.09344
40,Vbf5,22.24878,37.2846,45.57238,53.09314,81.22106,83.76076,83.10913,83.11642,83.02982,82.97746,67.35846,42.93859,28.77153
