,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
0,vc,11.22364,20.33249,24.62097,25.83431,26.08652,25.60016,24.18005,25.66834,25.98347,22.02686,13.82768,6.614504
1,vo,4.073093,7.378725,8.935031,9.375354,9.466881,9.290382,8.775016,9.315124,9.429484,7.993619,5.018109,2.400425
2,v2,28.55237,51.7218,62.63215,65.72099,66.36333,65.12475,61.51006,65.29836,66.10088,56.03192,35.17614,16.82774
3,v3,28.55237,51.7218,62.63215,65.72099,66.36333,65.12475,61.51006,65.29836,66.10088,56.03192,35.17615,16.82774
4,v5,5.184877,9.555693,11.89136,12.75438,12.96654,12.5687,11.61956,12.6216,12.87878,10.42465,6.409671,3.037273
5,v6,5.184877,9.555693,11.89136,12.75438,12.96654,12.5687,11.61956,12.6216,12.87878,10.42465,6.40967,3.037273
6,v7,5.09891,9.23707,11.18533,11.73655,11.85113,11.63018,10.98502,11.66116,11.80432,10.00683,6.281931,3.004976
7,v8,5.09891,9.23707,11.18533,11.73655,11.85113,11.63019,10.98502,11.66116,11.80432,10.00683,6.28193,3.004976
8,v9,5.09891,9.23707,11.18533,11.73655,11.85113,11.63019,10.98502,11.66116,11.80432,10.00683,6.28193,3.004976
9,v10,5.09891,9.23707,11.18533,11.73655,11.85113,11.63019,10.98502,11.66116,11.80432,10.00683,6.281929,3.004976
10,v13,15.29673,27.71121,33.556,35.20966,35.5534,34.89056,32.95506,34.98347,35.41295,30.02048,18.84579,9.014928
11,v23,0.1011803,0.3332073,0.7192266,1.030074,1.12743,0.9509762,0.6479912,0.9728533,1.086576,0.4320475,0.1428915,0.04742757
12,v24,0.1011803,0.3332073,0.7192266,1.030074,1.12743,0.9509762,0.6479912,0.9728533,1.086576,0.4320477,0.1428915,0.04742757
13,v25,0.01521372,0.01458424,0.01319939,0.01224996,0.01201731,0.01246655,0.01344859,0.01240449,0.01210905,0.01422174,0.01515682,0.01513104
14,v112,4.073093,7.378725,8.935031,9.375354,9.466881,9.290382,8.775016,9.315124,9.429484,7.99362,5.018109,2.400425
15,v113,2.036546,3.689363,4.467516,4.687677,4.73344,4.645189,4.387508,4.657562,4.714742,3.99681,2.509051,1.200212
16,v121,4.073093,7.378725,8.935031,9.375354,9.466881,9.290382,8.775016,9.315124,9.429484,7.993619,5.018108,2.400425
17,v122,2.036546,3.689363,4.467516,4.687677,4.73344,4.645189,4.387508,4.657562,4.714742,3.99681,2.509052,1.200212
18,v123,2.036546,3.689363,4.467516,4.687677,4.73344,4.645189,4.387508,4.657562,4.714742,3.99681,2.509052,1.200212
19,v124,2.036547,3.689362,4.467514,4.687677,4.73344,4.645194,4.387508,4.657562,4.714742,3.996809,2.509057,1.200212
20,v131,2.036547,3.689362,4.467516,4.687677,4.73344,4.645191,4.387508,4.657562,4.714742,3.99681,2.509054,1.200212
21,vlin,2.036546,3.689363,4.467516,4.687677,4.73344,4.645189,4.387508,4.657562,4.714742,3.99681,2.509051,1.200212
22,v2out,4.073093,7.378725,8.935031,9.375354,9.466881,9.290382,8.775016,9.315124,9.429484,7.993619,5.018108,2.400425
23,v51,1.44294,2.449602,2.646719,2.501288,2.438424,2.548394,2.657934,2.53584,2.465178,2.581066,1.755499,0.8691333
24,v52,1.44294,2.449602,2.646719,2.501288,2.438424,2.548393,2.657934,2.53584,2.465178,2.581066,1.755499,0.8691332
25,v55,0.72147,1.224801,1.32336,1.250644,1.219212,1.2742,1.328913,1.267925,1.232589,1.290531,0.8777498,0.434567
26,v56,0.7214701,1.224801,1.32336,1.250644,1.219212,1.274196,1.328967,1.26792,1.232589,1.290532,0.8777499,0.4345666
27,v57,0.72147,1.224801,1.32336,1.250644,1.219212,1.274196,1.328967,1.26792,1.232589,1.290532,0.8777498,0.4345666
28,v58,0.07095063,0.06504496,0.06412213,0.0647967,0.06509931,0.06457386,0.06407126,0.06463321,0.06496968,0.06442179,0.06887215,0.07554785
29,v59,0.07095032,0.065045,0.06412196,0.06479668,0.06509929,0.06457446,0.06407132,0.06463323,0.06496968,0.06442239,0.06887125,0.07554794
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,0.72147,1.224801,1.32336,1.250644,1.219212,1.274197,1.328967,1.26792,1.232589,1.290533,0.8777496,0.4345666
32,vdhap_in,21.66915,19.40858,19.02374,19.30686,19.43067,19.21472,19.00213,19.23921,19.37785,19.15108,20.88409,23.543
33,vgap_in,21.66915,19.40858,19.02374,19.30686,19.43067,19.21472,19.00213,19.23921,19.37785,19.15108,20.88409,23.543
34,vpga_in,21.66915,19.40858,19.02374,19.30686,19.43067,19.21472,19.00213,19.23921,19.37785,19.15108,20.88409,23.543
35,vpga_use,0.004543864,0.01126014,0.01234293,0.01065055,0.01001883,0.01114896,0.01255723,0.01101359,0.01028387,0.01223225,0.006369416,0.00190407
36,Vbf1,80.32739,146.4616,178.261,187.6594,189.6474,185.8104,174.9076,186.3452,188.8413,158.9378,99.17921,46.99615
37,Vbf2,80.32739,146.4616,178.261,187.6594,189.6474,185.8104,174.9076,186.3452,188.8413,158.9378,99.17921,46.99615
38,Vbf3,80.32739,146.4616,178.261,187.6594,189.6474,185.8104,174.9076,186.3452,188.8413,158.9378,99.17921,46.99615
39,Vbf4,80.32739,146.4616,178.261,187.6594,189.6474,185.8104,174.9076,186.3452,188.8413,158.9378,99.17921,46.99615
40,Vbf5,30.70136,55.5508,67.30213,70.63599,71.34433,69.9898,66.08106,70.17436,71.05188,60.21792,37.80122,18.12574
41,Vbf6,49.62603,90.91075,110.9588,117.0234,118.303,115.8206,108.8266,116.1709,117.7894,98.71991,61.37799,28.87041
42,Vbf7,49.62616,90.91075,110.9589,117.0234,118.3031,115.8208,108.8266,116.1709,117.7894,98.71991,61.37801,28.87041
43,Vbf8,80.32739,146.4616,178.261,187.6594,189.6474,185.8104,174.9076,186.3452,188.8413,158.9378,99.17921,46.99615
44,Vbf9,80.32739,146.4616,178.2611,187.6594,189.6474,185.8104,174.9075,186.3452,188.8413,158.9377,99.17994,46.99615
45,Vbf10,80.3274,146.4616,178.2581,187.6594,189.6474,185.8104,174.9093,186.3454,188.8413,158.9337,99.18413,46.99615
46,Vbf11,47.65182,86.70058,105.3919,110.8564,112.0136,109.7855,103.4286,110.0942,111.5421,94.05827,58.78986,27.94931
47,Vqi,99.25207,181.8215,221.9177,234.0469,236.6061,231.6411,217.6531,232.3417,235.5789,197.4398,122.756,57.74082
48,Vipc,9654.769,17633.72,21490.43,22636.19,22878.45,22409.37,21082.21,22474.92,22780.34,19145.94,11926.69,5644.986
49,Vicp,9652.686,17629.66,21485.05,22629.92,22871.64,22403.37,21077.02,22468.85,22773.82,19141.37,11924.07,5643.797
50,Vinc,39.67404,77.30479,102.5055,119.3627,129.7494,114.4247,98.92969,115.6166,124.3006,87.01045,49.89053,22.64656
51,Vinp,43.85026,85.44213,113.2955,131.9272,143.4073,126.4694,109.3433,127.7868,137.3849,96.16945,55.14217,25.0304
52,Vdp,35.68415,70.27358,94.37503,111.4015,122.1853,106.3453,90.86755,107.5589,116.5099,79.53894,45.00831,20.28465
53,Vdc,35.67645,70.2574,94.35139,111.3707,122.1489,106.3168,90.84517,107.5299,116.4765,79.51996,44.99842,20.28038
54,Vfp,6.082505,11.10924,13.53897,14.2608,14.41342,14.11791,13.28179,14.1592,14.35162,12.06194,7.513813,3.556341
55,Vfc,6.081192,11.10669,13.53558,14.25685,14.40913,14.11412,13.27852,14.15538,14.34751,12.05907,7.512163,3.555592
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.311735,1.405464,1.548482,1.688247,1.736568,1.650536,1.519653,1.660815,1.716067,1.439418,1.33499,1.258666
58,VgPQH2,389.5001,768.4198,546.6909,572.88,1810.535,788.6911,679.1425,704.6552,733.8684,320.7775,92.54255,265.7798
59,Vbf12,7.098622e-08,1.223625e-08,-2.76103e-07,1.132149e-08,-6.131534e-08,8.492734e-07,1.277651e-08,3.943399e-08,3.294378e-10,2.504283e-07,4.93585e-07,-4.093299e-10
