,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
0,vc,15.6563,27.80632,31.5986,32.3311,32.57227,30.8373,27.25114,30.8971,32.15861,26.27529,16.12815,7.543236
1,vo,3.828987,6.800457,7.727919,7.907063,7.966045,7.541731,6.664681,7.556357,7.864877,6.426022,3.944384,1.844813
2,v2,37.04635,65.79163,74.76966,76.50534,77.07698,72.96653,64.47786,73.10815,76.09654,62.16879,38.16265,17.8508
3,v3,37.04635,65.79163,74.76966,76.50534,77.07698,72.96653,64.47786,73.10815,76.09654,62.16879,38.16265,17.8508
4,v5,6.631216,12.16961,14.37993,14.92876,15.12766,13.87677,11.88767,13.91502,14.79266,11.40588,6.835107,3.166114
5,v6,6.631216,12.16961,14.37993,14.92876,15.12766,13.87677,11.88767,13.91502,14.79266,11.40588,6.835107,3.166114
6,v7,6.495096,11.53559,13.10884,13.41272,13.51277,12.79301,11.30527,12.81782,13.34116,10.90044,6.690844,3.129349
7,v8,6.495096,11.53559,13.10884,13.41272,13.51277,12.79301,11.30527,12.81782,13.34116,10.90044,6.690844,3.12935
8,v9,6.495096,11.53559,13.10884,13.41272,13.51277,12.79301,11.30527,12.81782,13.34116,10.90044,6.690844,3.12935
9,v10,6.495097,11.53559,13.10884,13.41272,13.51277,12.79301,11.30527,12.81782,13.34116,10.90044,6.690844,3.12935
10,v13,19.48529,34.60677,39.32652,40.23817,40.53832,38.37903,33.91582,38.45346,40.02349,32.70131,20.07253,9.388048
11,v23,0.1505092,0.6480283,1.284993,1.529982,1.62885,1.097646,0.5964417,1.111091,1.465428,0.519524,0.1586464,0.05100985
12,v24,0.1505092,0.6480283,1.284993,1.529982,1.62885,1.097646,0.5964418,1.111091,1.465428,0.5195238,0.1586464,0.05100985
13,v25,0.01438742,0.01401138,0.01390738,0.01394081,0.01396618,0.01389114,0.0140382,0.01389021,0.01392764,0.01408603,0.01438433,0.01424513
14,v112,3.828987,6.800457,7.727919,7.907063,7.966045,7.541731,6.664681,7.556357,7.864877,6.426022,3.944384,1.844813
15,v113,1.914494,3.400229,3.86396,3.953532,3.983022,3.770865,3.332341,3.778178,3.932439,3.21301,1.972192,0.9224066
16,v121,3.828987,6.800457,7.727919,7.907063,7.966045,7.541731,6.664681,7.556357,7.864877,6.426022,3.944384,1.844813
17,v122,1.914494,3.400229,3.86396,3.953532,3.983022,3.770865,3.332341,3.778178,3.932439,3.21301,1.972192,0.9224066
18,v123,1.914494,3.400229,3.86396,3.953532,3.983022,3.770865,3.332341,3.778178,3.932439,3.21301,1.972192,0.9224066
19,v124,1.914493,3.400229,3.86396,3.953532,3.983022,3.770866,3.33234,3.778179,3.932438,3.213011,1.972192,0.9224065
20,v131,1.914494,3.400229,3.86396,3.953532,3.983022,3.770866,3.332341,3.778178,3.932439,3.21301,1.972192,0.9224065
21,vlin,1.914494,3.400229,3.86396,3.953532,3.983022,3.770865,3.332341,3.778178,3.932439,3.21301,1.972192,0.9224066
22,v2out,3.828987,6.800457,7.727919,7.907063,7.966045,7.541731,6.664681,7.556357,7.864877,6.426022,3.944384,1.844813
23,v51,2.149319,3.422818,3.341643,3.204824,3.141677,3.416981,3.393348,3.412322,3.243863,3.327857,2.209954,1.065261
24,v52,2.14932,3.422818,3.341643,3.204824,3.141677,3.416981,3.393348,3.412322,3.243863,3.327857,2.209955,1.065261
25,v55,1.074652,1.711409,1.670821,1.602412,1.570839,1.708489,1.696673,1.706161,1.621932,1.663811,1.104977,0.5326304
26,v56,1.07466,1.711409,1.670821,1.602412,1.570839,1.70849,1.696674,1.706161,1.621932,1.663929,1.104977,0.5326303
27,v57,1.07466,1.711409,1.670821,1.602412,1.570839,1.70849,1.696674,1.706161,1.621932,1.663929,1.104977,0.5326303
28,v58,0.06658179,0.06106003,0.06134103,0.06183452,0.06207084,0.06108006,0.06116101,0.06109584,0.06169114,0.06138926,0.06625842,0.07384478
29,v59,0.0665821,0.06106007,0.06134107,0.06183452,0.06207083,0.06107995,0.06116109,0.06109593,0.06169115,0.06138944,0.06625807,0.07384488
30,v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,v62,1.07466,1.711409,1.670821,1.602412,1.570839,1.70849,1.696674,1.706161,1.621932,1.663929,1.104977,0.5326303
32,vdhap_in,20.01653,17.53259,17.69055,17.95456,18.07572,17.54398,17.59007,17.55308,17.87947,17.71742,19.89093,22.81415
33,vgap_in,20.01653,17.53259,17.69055,17.95456,18.07572,17.54398,17.59007,17.55308,17.87947,17.71742,19.89093,22.81415
34,vpga_in,20.01653,17.53259,17.69055,17.95456,18.07572,17.54398,17.59007,17.55308,17.87947,17.71742,19.89093,22.81415
35,vpga_use,0.009733092,0.02169125,0.0194229,0.01746077,0.01662648,0.02067142,0.02144247,0.02058868,0.01799646,0.02081506,0.01021702,0.002893894
36,Vbf1,101.0015,180.7685,206.7006,212.601,213.7088,201.3895,177.066,201.7837,210.711,170.5809,104.0683,48.21852
37,Vbf2,101.0015,180.7685,206.7006,212.601,213.7088,201.3895,177.066,201.7837,210.711,170.5809,104.0683,48.21852
38,Vbf3,101.0015,180.7685,206.7006,212.601,213.7088,201.3895,177.066,201.7837,210.711,170.5809,104.0683,48.21852
39,Vbf4,101.0015,180.7685,206.7006,212.601,213.7088,201.3895,177.066,201.7837,210.711,170.5809,104.0683,48.21852
40,Vbf5,39.06334,69.32362,78.79467,80.98134,81.23698,76.90353,67.94383,77.04016,80.20554,65.51483,40.23565,18.86279
41,Vbf6,61.93814,111.4448,127.9059,131.6197,132.4718,124.486,109.1221,124.7435,130.5055,105.0661,63.83266,29.35573
42,Vbf7,61.93811,111.4448,127.9059,131.6197,132.4718,124.486,109.1221,124.7435,130.5055,105.0661,63.83266,29.35574
43,Vbf8,101.0015,180.7685,206.7006,212.601,213.7088,201.3895,177.066,201.7837,210.711,170.5809,104.0683,48.21852
44,Vbf9,101.0014,180.7685,206.7006,212.601,213.7088,201.3895,177.066,201.7838,210.711,170.5819,104.0683,48.21851
45,Vbf10,101.0018,180.7685,206.7006,212.601,213.7088,201.3892,177.066,201.782,210.711,170.5789,104.0683,48.21845
46,Vbf11,60.11365,107.3357,122.5301,126.001,126.5862,119.4391,105.1545,119.6669,124.8569,101.3287,61.93302,28.79026
47,Vqi,123.8763,222.8897,255.8118,263.2394,264.9436,248.972,218.2443,249.4871,261.0109,210.1322,127.6653,58.71145
48,Vipc,12145.04,21792.98,24964.1,25682.87,25819.63,24306.97,21414.14,24354.78,25455.35,20559.58,12514.79,5791.903
49,Vicp,12142.45,21787.89,24957.7,25675.93,25812.49,24300.92,21409.18,24348.7,25448.59,20554.86,12512.12,5790.713
50,Vinc,49.3116,96.7672,121.8827,132.0992,136.1007,115.3442,94.57066,115.838,128.7959,89.85404,50.92921,22.66358
51,Vinp,54.50229,106.9532,134.7125,146.0044,150.4271,127.4857,104.5255,128.0315,142.3534,99.31236,56.29018,25.04922
52,Vdp,44.26111,88.14251,112.5867,122.8904,127.0173,106.1167,86.06869,106.6064,119.5558,81.64152,45.73111,20.20996
53,Vdc,44.25167,88.12196,112.5578,122.8572,126.9822,106.0902,86.04873,106.5798,119.524,81.62279,45.72133,20.2058
54,Vfp,7.651375,13.72957,15.72738,16.18021,16.26637,15.31339,13.49091,15.34351,16.03687,12.95253,7.884319,3.648899
55,Vfc,7.649744,13.72637,15.72335,16.17584,16.26187,15.30958,13.48778,15.33968,16.03261,12.94956,7.882634,3.648149
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.476034,1.619035,1.852562,1.961231,2.00812,1.776897,1.603313,1.782169,1.931571,1.580921,1.479347,1.40101
58,VgPQH2,339.908,590.2543,333.0849,720.584,821.2436,694.6781,120.0759,796.7787,390.0333,224.0794,269.1989,139.9685
59,Vbf12,1.543516e-07,6.560026e-09,2.842578e-08,2.064309e-10,-8.706601e-10,4.949819e-09,-6.818476e-08,1.353387e-07,-2.753956e-09,3.704063e-07,1.524631e-08,-3.734635e-08
60,Vbf13,4.059754e-08,1.803315e-09,8.149118e-09,5.921784e-11,-2.54698e-10,1.349865e-09,-1.871155e-08,3.764981e-08,-7.912878e-10,1.001969e-07,4.131841e-09,-9.95178e-09
61,Vbf14,-4.968045e-09,-6.003692e-10,-3.528041e-09,-2.133935e-11,-1.024872e-10,-9.226638e-10,6.817411e-09,-1.278014e-08,3.424966e-10,-3.266367e-08,-1.894857e-09,3.485199e-09
62,Vbf15,101.0015,180.7685,206.7006,212.601,213.7088,201.3895,177.066,201.7837,210.711,170.5809,104.0683,48.21852
63,Vbf16,101.0015,180.7685,206.7006,212.601,213.7088,201.3895,177.0656,201.7837,210.711,170.5809,104.0683,48.21852
64,vbfn2,39.06334,69.32362,78.79467,80.98134,81.23698,76.90353,67.94383,77.04016,80.20554,65.51483,40.23565,18.86279
65,VsNADPH,0.5910908,0.7363068,0.9200023,0.7921975,0.7854493,0.7704356,1.264037,0.7567295,0.8941244,0.9106195,0.6324977,0.4799205
66,vA_d,18.36544,42.43845,63.1504,71.12838,75.19596,55.99259,44.22817,56.18939,69.43533,39.7919,19.28998,7.970752
67,vA_f,0.6349633,1.322091,1.764313,1.873005,1.925981,1.616026,1.386516,1.61743,1.862772,1.262607,0.6651418,0.2878232
68,vA_U,5039.391,10492.78,14002.48,14865.12,15285.57,12825.6,11004.1,12836.75,14783.9,10020.69,5278.903,2284.311
69,vU_A,4965.091,10353.45,13836.79,14688.18,15105.18,12664.97,10870.78,12675.38,14611.51,9891.738,5202.497,2249.689
70,vU_f,0.6256015,1.304535,1.743435,1.850711,1.903252,1.595787,1.369718,1.597098,1.84105,1.246359,0.6555146,0.2834608
71,vU_d,15.81728,38.83289,56.30132,66.57428,70.86807,52.03731,35.07687,52.56353,62.79526,33.65863,16.24309,5.972921
72,v1,329.3653,931.277,820.7884,1440.977,1622.458,1242.302,402.5878,1373.533,941.7695,498.1903,301.5585,96.82392
73,v_r1,251.2386,792.6297,663.199,1279.015,1459.984,1088.495,266.7001,1219.452,781.3584,367.1607,221.0872,59.09826
74,vS1_S2,19.53166,34.66181,39.39733,40.49067,40.61849,38.45176,33.97193,38.52008,40.10277,32.75741,20.11782,9.431397
75,vS2_S3,19.53166,34.66181,39.39733,40.49067,40.61849,38.45176,33.97193,38.52008,40.10277,32.75741,20.11782,9.431397
76,vS3_S0,19.53166,34.66181,39.39733,40.49067,40.61849,38.45176,33.97193,38.52008,40.10277,32.75741,20.11782,9.431397
77,vS0_S1,19.53166,34.66181,39.39733,40.49067,40.61849,38.45176,33.97193,38.52008,40.10277,32.75741,20.11782,9.431397
78,vz_1,1.450206,4.23196,3.558343,6.629076,7.530813,5.697158,1.56297,6.353922,4.146326,2.072709,1.292784,0.3814998
79,v1z_1,0.3625515,1.05799,0.8895856,1.657269,1.882703,1.424289,0.3907424,1.588481,1.036581,0.5181774,0.3231961,0.09537496
80,v2z_1,0.3625515,1.05799,0.8895856,1.657269,1.882703,1.424289,0.3907424,1.588481,1.036581,0.5181774,0.3231961,0.09537496
81,v3z_1,0.3625515,1.05799,0.8895856,1.657269,1.882703,1.424289,0.3907424,1.588481,1.036581,0.5181774,0.3231961,0.09537496
82,v0z_1,0.3625515,1.05799,0.8895856,1.657269,1.882703,1.424289,0.3907424,1.588481,1.036581,0.5181774,0.3231961,0.09537496
83,vz_2,76.67644,134.4153,154.031,155.3336,154.9432,148.1099,134.3248,147.7264,156.2647,128.9569,79.17851,37.34409
84,v1z_2,19.16911,33.60382,38.50775,38.8334,38.73579,37.02747,33.58119,36.9316,39.06619,32.23923,19.79463,9.336022
85,v2z_2,19.16911,33.60382,38.50775,38.8334,38.73579,37.02747,33.58119,36.9316,39.06619,32.23923,19.79463,9.336022
86,v3z_2,19.16911,33.60382,38.50775,38.8334,38.73579,37.02747,33.58119,36.9316,39.06619,32.23923,19.79463,9.336022
87,v0z_2,19.16911,33.60382,38.50775,38.8334,38.73579,37.02747,33.58119,36.9316,39.06619,32.23923,19.79463,9.336022
88,v1z,19.53166,34.66181,39.39733,40.49067,40.61849,38.45176,33.97193,38.52008,40.10277,32.75741,20.11782,9.431397
89,v2z,19.53166,34.66181,39.39733,40.49067,40.61849,38.45176,33.97193,38.52008,40.10277,32.75741,20.11782,9.431397
90,v3z,19.53166,34.66181,39.39733,40.49067,40.61849,38.45176,33.97193,38.52008,40.10277,32.75741,20.11782,9.431397
91,v0z,19.53166,34.66181,39.39733,40.49067,40.61849,38.45176,33.97193,38.52008,40.10277,32.75741,20.11782,9.431397
92,vAB1,40.17028,70.21097,80.40186,81.68386,81.83799,77.66053,73.92676,77.69807,81.53221,68.05262,41.7357,21.02856
93,vBA1,1.106943,0.8873419,1.607192,0.7025226,0.6010024,0.7570064,5.982891,0.657913,1.326676,2.537792,1.500056,2.165765
94,vAB2,68.13598,86.19951,125.2492,92.6254,90.18941,89.7179,296.8377,86.99753,115.1572,150.3132,84.20675,85.00869
95,vBA2,29.07265,16.87588,46.45453,11.64406,8.952424,12.81437,228.8938,9.957368,34.95167,84.79837,43.9711,66.1459
96,v3,4.941012,4.980531,7.736651,4.195262,3.67606,4.450931,13.74231,3.966909,6.816158,9.500784,5.918487,4.629171
97,v_r3,0.1392804,0.1111824,0.2006842,0.0844748,0.07032659,0.09213927,0.5281591,0.07807945,0.1672875,0.2914078,0.1797851,0.1915497
98,v3_n,35.14125,65.85597,72.98785,78.42176,79.13847,74.03785,56.51807,74.6007,75.27311,57.84363,35.4304,14.91775
99,v_r3_n,0.8796629,1.401693,1.72915,1.551209,1.507216,1.493115,1.788361,1.449366,1.716448,1.538166,0.9334557,0.4925682
100,v_pq_ox,2737.294,2495.502,2688.292,2373.8,2302.135,2403.272,3023.873,2331.728,2631.55,2825.325,2795.735,2927.972
101,Ic,20.42673,40.08464,50.48845,54.72051,56.37807,47.77994,39.17475,47.98448,53.35215,37.22095,21.09681,9.388115
102,Ia,93.30049,183.0893,230.6094,249.9396,257.5106,218.2381,178.9333,219.1724,243.6895,170.0092,96.3611,42.88085
103,v2_1,76.70429,134.471,154.1554,155.3979,155.0004,148.1695,134.5526,147.7791,156.3765,129.0769,79.215,37.35769
104,v2_2,1728.995,1897.716,3649.623,1869.306,1669.398,1827.368,7771.204,1619.204,3226.853,4277.651,2191.489,1773.975
105,v2_00_1,1.569078,4.038875,2.91211,5.33086,5.868578,4.986604,1.231441,5.52368,3.322064,1.864382,1.364971,0.4384836
106,v2_01_1,3.413511,8.044026,6.269586,10.52385,11.5457,9.846061,4.218163,10.85271,6.932996,4.587311,3.184001,1.45161
107,v2_02_1,71.7217,122.3881,144.9737,139.5432,137.5861,133.3369,129.103,131.4027,146.1215,122.6252,74.66603,35.4676
108,v2_00_2,35.36866,56.99846,68.94409,64.12576,63.20625,61.49957,71.12293,60.52256,68.55128,61.78625,37.76203,20.82192
109,v2_01_2,76.94408,113.521,148.4322,126.593,124.3505,121.431,243.6237,118.9123,143.0634,152.025,88.08564,68.93146
110,v2_02_2,1616.682,1727.196,3432.247,1678.587,1481.842,1644.438,7456.457,1439.77,3015.238,4063.84,2065.641,1684.221
111,vr2_00_1,0.000517763,0.001651161,0.00219479,0.00225538,0.002254746,0.002033212,0.001734148,0.002029306,0.002262283,0.001527567,0.000556339,0.0001286394
112,vr2_01_1,0.0006653173,0.001535732,0.002590168,0.001937491,0.001882454,0.001779457,0.005275088,0.001721354,0.002420666,0.002556104,0.0008503638,0.0003939618
113,vr2_02_1,0.02665091,0.05247718,0.1196334,0.06009876,0.05309924,0.05580622,0.220824,0.04890716,0.1070991,0.1158881,0.03508848,0.0130397
114,vr2_1,0.02783399,0.05566408,0.1244184,0.06429163,0.05723644,0.05961889,0.2278332,0.05265782,0.1117821,0.1199718,0.03649518,0.0135623
115,vr2_00_2,32.13547,56.16634,64.31804,65.34358,65.46684,62.12535,59.13849,62.15538,65.22221,54.43973,33.38774,16.82265
116,vr2_01_2,41.29357,52.23986,75.90454,56.13359,54.65729,54.37179,179.8927,52.72317,69.78844,91.09495,51.03314,51.51983
117,vr2_02_2,1654.115,1785.078,3505.842,1741.2,1541.743,1705.174,7530.61,1497.972,3087.696,4130.044,2105.775,1705.25
118,vr2_2,1727.544,1893.484,3646.065,1862.677,1661.868,1821.671,7769.641,1612.85,3222.706,4275.578,2190.196,1773.592
119,vP680qU,0.1572876,0.6287421,0.5490763,1.271081,1.521466,0.9692502,0.1590634,1.109105,0.6961878,0.2410388,0.1328918,0.02841957
120,vP680qA,0.1596413,0.6372032,0.5556515,1.286392,1.539636,0.9815432,0.1610141,1.123225,0.7044017,0.2441811,0.1348435,0.02885694
121,vU_P680,78.28393,139.276,158.1384,163.2338,163.9954,154.7763,136.0468,155.1894,161.1073,131.2707,80.60418,37.75401
122,vP680_d,0.1572807,0.6287412,0.5490764,1.271081,1.521466,0.9692502,0.1590634,1.109105,0.6961879,0.2410383,0.1328917,0.02841807
123,vP680_f,-2.59209e-05,-7.46045e-07,-9.658243e-07,1.347635e-07,-1.172402e-09,-1.986151e-07,1.002594e-05,-4.301423e-05,4.072489e-08,-1.297697e-05,-2.345571e-07,-6.483388e-05
124,Vva,0.0,0.0,0.0,0.005841131,0.008682741,0.0,0.0,0.0,0.003803974,0.0,0.0,0.0
125,Vaz,0.0,0.0,0.0,0.00119154,0.002731642,0.0,0.0,0.0,0.0004938782,0.0,0.0,0.0
