day,CO2,Flux,data/model
164,372,165.5,Data
176,372,166.5,Data
191,372,158.5,Data
205,372,115.5,Data
215,372,125.0,Data
164,552,160.5,Data
176,552,173.5,Data
191,552,179.5,Data
205,552,128.5,Data
215,552,141.5,Data
164,372,818.6507934999997,FBA
176,372,661.4583334999999,FBA
191,372,812.2769469999997,FBA
205,372,537.895115,FBA
215,372,525.1798559999999,FBA
164,552,828.3730159999999,FBA
176,552,807.2916664999999,FBA
191,552,815.3333734999998,FBA
205,552,563.5775864999999,FBA
215,552,577.5950669999999,FBA
164,372,127.539,ODE
176,372,127.3838,ODE
191,372,123.115,ODE
205,372,125.2042,ODE
215,372,130.7329,ODE
164,552,152.893,ODE
176,552,149.2835,ODE
191,552,148.8842,ODE
205,552,150.1454,ODE
215,552,147.5468,ODE
164,372,135.083937,LC
176,372,134.608274,LC
191,372,135.06554,LC
205,372,134.157488,LC
215,372,134.119369,LC
164,552,158.170847,LC
176,552,158.12997000000001,LC
191,552,158.146063,LC
205,552,157.548483,LC
215,552,157.59323999999998,LC
164,372,133.4537,TC
176,372,138.666,TC
191,372,137.5081,TC
205,372,132.4739,TC
215,372,138.1296,TC
164,552,158.0427,TC
176,552,154.1388,TC
191,552,156.3609,TC
205,552,163.384,TC
215,552,157.8672,TC
