day,CO2,Flux,data/model
191,372,21.1,Data
191,552,32.2,Data
205,372,9.2,Data
205,552,17.2,Data
215,372,11.0,Data
215,552,11.9,Data
191,372,9.04804338857521,FBA
205,372,4.696208879618983,FBA
215,372,4.273442080748644,FBA
191,552,8.82685861220494,FBA
205,552,5.192845480999186,FBA
215,552,4.4169819697969475,FBA
191,372,20.129642568,ODE
205,372,13.071116484000001,ODE
215,372,10.878579792,ODE
191,552,31.467499019999998,ODE
205,552,20.72453022,ODE
215,552,15.475665816,ODE
191,372,9.53556153538361,LC
205,372,6.648685220527269,LC
215,372,6.354345399891521,LC
191,552,9.569065731658782,LC
205,552,7.09134674841388,LC
215,552,6.549232174201827,LC
191,372,19.751907564,TC
205,372,12.680122679999998,TC
215,372,10.604333015999998,TC
191,552,30.819456756,TC
205,552,20.093714820000002,TC
215,552,14.869240992000002,TC
